"Year","Focal_Depth","Primary_Magnitude","Country","Latitude","Longitude","Deaths","Missing","Injuriez","Damage($M)"
1931,,7.4,"INDONESIA",-5,102.75,,,,
1931,35,7.8,"SOLOMON ISLANDS",-10.932,161.016,50,,,
1931,40,7.1,"JAPAN",32.2,132.1,,,,
1932,33,8.1,"MEXICO",19.5,-104.25,4,,,
1932,54,7.9,"MEXICO",19.452,-103.632,,,,
1932,33,7,"MEXICO",19,-104.5,75,100,,
1933,35,8.4,"JAPAN",39.224,144.622,3022,,,
1933,,,"TOGO",6.9,0.6,,,,
1933,20,7.1,"JAPAN",38.1,142.4,,,,
1933,33,6.9,"ECUADOR",-2,-81,,,,
1934,55,7.9,"PHILIPPINES",17.5,119,,,,
1934,60,7.7,"COSTA RICA",8,-82.5,,,,
1934,35,7.8,"SOLOMON ISLANDS",-11.907,166.731,,,,
1934,35,7.2,"SOLOMON ISLANDS",-11.139,165.503,,,,
1934,5,7,"MEXICO",18.5,-105.5,,,,
1935,,6.5,"JAPAN",36.6,141.4,,,,
1935,30,7.8,"PAPUA NEW GUINEA",-3.824,141.416,,,,
1935,10,7.2,"JAPAN",39.9,143.7,,,,
1935,10,7,"JAPAN",40.7,144.3,,,,
1936,60,7.7,"INDONESIA",4.5,126.5,,,,
1936,60,7.3,"CHILE",-24.5,-70,,,,
1936,40,7.7,"JAPAN",38.2,142.2,,,,
1937,60,7.5,"PHILIPPINES",14.5,121.5,,,,
1937,33,5.7,"RUSSIA",56,162.5,,,,
1938,,8.5,"INDONESIA",-5.25,130.5,,,,
1938,,7.5,"PAPUA NEW GUINEA",-6,147.8,,,,
1938,,7.6,"INDONESIA",-1,120,17,,,
1938,,7.1,"JAPAN",36.7,141.4,,,,
1938,,6.1,"JAPAN",43.6,144.3,1,,,
1938,35,7.6,"JAPAN",25.321,125.115,,,,
1938,30,7.7,"JAPAN",37.1,141.7,,,,
1938,30,7.6,"JAPAN",37.2,141.7,,,,
1938,0,7.5,"JAPAN",37.5,141.8,,,,
1938,20,7.1,"JAPAN",37,141.7,,,,
1938,25,8.2,"USA",55.48,-158.37,,,,
1938,60,6,"JAPAN",37,141.5,,,,
1938,10,6.9,"JAPAN",36.7,142.1,,,,
1938,50,7,"JAPAN",37,142.2,,,,
1939,20,6.6,"JAPAN",32.3,132,,,,
1939,35,7.9,"SOLOMON ISLANDS",-9.295,159.234,12,,,
1939,,7,"JAPAN",40.1,139.5,,,,
1939,16,6.5,"PORTUGAL",37.053,-24.427,,,,
1939,150,8,"INDONESIA",0,123,,,,
1939,35,7.7,"TURKEY",39.77,39.533,,,,
1940,10,7.5,"JAPAN",44.2,139.5,10,,,
1941,15,7.4,"PAPUA NEW GUINEA",-4.175,152.071,,,,
1941,55,7.6,"INDIA",12.5,92.5,,,,
1941,10,7.4,"JAPAN",32,132.1,2,,,
1941,,8.3,"ATLANTIC OCEAN",37.417,-18.983,,,,
1941,,7.6,"COSTA RICA",8.7,-83.2,,,,
1941,,6.9,"COSTA RICA",8.5,-84,,,,
1942,60,8.2,"PERU",-15,-76,,,,
1943,35,8.2,"CHILE",-30.75,-72,,,,
1943,20,7.1,"JAPAN",41.2,143.3,,,,
1944,30,8.1,"JAPAN",34,137.1,1223,2135,,
1945,33,7.1,"JAPAN",34.7,137.2,,,,
1945,20,7.3,"JAPAN",40.9,142.1,,,,
1945,,8,"PAKISTAN",24.5,63,4000,,,25
1946,15,8.6,"USA",53.492,-162.832,167,,,26.046
1946,,7.3,"CANADA",49.87,-124.92,,,,
1946,15,7.9,"DOMINICAN REPUBLIC",19.25,-69,1790,,,
1946,15,7.5,"DOMINICAN REPUBLIC",19.5,-69.5,75,,,
1946,20,8.1,"JAPAN",33,135.6,1362,,,
1947,12,7.1,"NEW ZEALAND",-38.85,178.87,,,,
1947,12,6.9,"NEW ZEALAND",-38.42,178.88,,,,
1947,28,6.9,"GREECE",37,22,,,,
1947,33,7,"JAPAN",43.8,141,,,,
1948,33,8.3,"PHILIPPINES",10.5,122,2,,,
1948,40,7.1,"GREECE",35.5,27.2,,,,
1948,40,7.2,"JAPAN",33.1,135.6,,,,
1948,15,6.5,"GREECE",38.532,20.427,,,,
1948,,6.3,"INDONESIA",6,95,,,,
1948,33,7.8,"TONGA",-21,-174,,,,
1948,100,7,"CHILE",-22.5,-69,,,,
1949,150,5.9,"RUSSIA",54.6,163.5,,,,
1949,70,7,"USA",47.167,-122.617,,,,
1949,,6.7,"GREECE",38.58,26.23,,,,
1949,25,8.1,"CANADA",53.6,-133.3,,,,
1949,60,7.5,"PAPUA NEW GUINEA",-5.5,154,,,,
1950,33,7.7,"COSTA RICA",11,-85,,,,
1950,,7.6,"INDONESIA",-3.8,128.3,,,,
1950,65,7.5,"GUATEMALA",14.31,-91.917,,,,
1950,33,7.3,"SOLOMON ISLANDS",-10,159.5,,,,
1950,50,7.5,"MEXICO",16.48,-98.22,,,,
1951,100,6,"NICARAGUA",13,-87.5,1000,,,
1951,12,6.9,"USA",19.5,-156,,,,
1951,21,7.3,"TAIWAN",23.8,121.7,,,,
1952,45,8.1,"JAPAN",42.15,143.85,33,,,
1952,20,7,"JAPAN",41.7,143.6,,,,
1952,33,4.5,"USA",19.1,-155,,,,
1952,25,7.8,"PHILIPPINES",9.5,127.25,,,,
1952,22,9,"RUSSIA",52.755,160.057,10000,,,1
1953,,5.8,"RUSSIA",50,156.5,,,,
1953,,6.5,"CYPRUS",35,32.5,,,,
1953,33,6.4,"FIJI",-18.3,178.2,5,12,,
1953,60,7.4,"JAPAN",34,141.7,,,,
1953,30,7.4,"PERU",-3.4,-80.6,,,,
1954,,6.7,"ALGERIA",36.283,1.467,,,,
1954,30,6.1,"JAPAN",38.9,142.2,,,,
1955,,6.2,"GREECE",39.4,23.1,,,,
1955,30,7.1,"CHILE",-30,-72,1,,,
1955,33,6.5,"PAPUA NEW GUINEA",-6.9,155.7,,,,
1956,20,6.3,"JAPAN",44.3,144.1,,,,
1956,20,7.8,"GREECE",36.9,26,3,,,
1956,,6.8,"GREECE",36.8,25.5,,,,
1957,33,8.6,"USA",51.292,-175.629,2,1,,
1957,33,7.3,"INDONESIA",-1.5,137,,,,
1957,25,7.9,"MEXICO",16.5,-99.1,,,,
1957,,5.5,"INDONESIA",-8.2,107.3,,,,
1958,60,7.6,"ECUADOR",1.5,-79.5,4,,,
1958,35,7.8,"USA",58.37,-136.665,5,,,0.1
1958,40,8.3,"RUSSIA",44.53,148.54,,,,
1959,40,6.8,"JAPAN",37.5,142.2,,,,
1959,60,8.2,"RUSSIA",52.5,159.5,,,,
1959,33,7.3,"SOLOMON ISLANDS",-7.5,156,,,,
1959,10,6.7,"JAPAN",37.5,143.2,,,,
1960,20,7.5,"JAPAN",39.8,143.4,,,,
1960,20,6.7,"JAPAN",39.4,143.7,,,,
1960,35,8.2,"CHILE",-37.872,-73.243,,,,
1960,33,9.5,"CHILE",-38.143,-73.407,2223,3000,,1000
1960,33,6.6,"PAPUA NEW GUINEA",-9.4,152.3,,,,
1960,30,6.7,"JAPAN",40.3,142.5,,,,
1960,93,6.8,"PERU",-6.8,-80.7,66,2,,0.55
1961,40,6.8,"JAPAN",36,142.3,,,,
1961,20,6.4,"JAPAN",36,141.9,,,,
1961,20,6.5,"JAPAN",36.2,141.9,,,,
1961,80,6.6,"RUSSIA",43.2,147.9,,,,
1961,74,7.6,"JAPAN",31.6,131.8,,,,
1961,,6.5,"TURKEY",36.7,28.5,,,,
1961,60,6.6,"JAPAN",29.6,131.8,,,,
1961,45,7.3,"VANUATU",-18.421,168.411,,,,
1961,80,7,"JAPAN",42.9,145.6,,,,
1961,60,6.9,"JAPAN",42.7,145.7,,,,
1962,30,6.8,"COSTA RICA",8.1,-82.9,,,,
1962,25,7.2,"JAPAN",38.073,142.741,,,,
1962,60,7,"JAPAN",42.2,143.9,,,,
1962,40,7,"MEXICO",17.2,-99.6,,,,
1962,33,7.2,"MEXICO",17.2,-99.5,,,,
1963,47,7.3,"TAIWAN",24.4,122.1,,,,
1963,,6.1,"TURKEY",40.75,29,,,,
1963,48,7.1,"RUSSIA",44.426,149.272,,,,
1963,13,8.5,"RUSSIA",44.772,149.798,,,,
1963,28,7.9,"RUSSIA",44.772,150.563,,,,
1964,33,9.2,"USA",61.017,-147.648,124,,,116
1964,100,7,"INDONESIA",5.8,95.4,,,,
1964,30,6.9,"JAPAN",40.3,139,,,,
1964,,6.6,"JAPAN",40.4,139,,,,
1964,40,7.5,"JAPAN",38.65,139.2,26,450,,80
1964,15,6.8,"RUSSIA",47.159,153.876,,,,
1964,45,7.6,"PAPUA NEW GUINEA",-5.7,150.7,,,,
1964,40,6.3,"JAPAN",40.4,138.9,,,,
1965,6,7.6,"INDONESIA",-2.4,126.1,71,,,
1965,36,8.7,"USA",51.29,178.55,,,,0.01
1965,18,6.3,"GREECE",39.4,24,,,,
1965,20,7.6,"USA",50.32,177.93,,,,
1965,,7.2,"RUSSIA",44.7,148.7,,,,
1965,40,6.5,"USA",53.03,-167.55,,,,
1965,13,7,"VANUATU",-15.8,167.2,,,,
1965,,7.8,"MEXICO",16.3,-95.8,,,,
1966,48,7.6,"TAIWAN",24.1,122.6,,,,
1966,31,7.1,"SOLOMON ISLANDS",-10.343,160.883,,,,
1966,,5.5,"RUSSIA",44.75,37,,,,
1966,38,8.1,"PERU",-10.748,-78.638,,,,2
1966,47,7.8,"CHILE",-25.5,-70.7,,,,
1966,83,7.8,"SOLOMON ISLANDS",-11.893,166.445,,,,
1966,23,7.2,"SOLOMON ISLANDS",-12.334,166.684,,,,
1967,33,5.5,"INDONESIA",-3.7,119.3,13,,,
1967,100,6.1,"INDONESIA",5.5,97.3,,,,
1967,10,6.5,"VENEZUELA",10.6,-67.3,,,,
1967,30,6.4,"PAPUA NEW GUINEA",-4.4,152.5,,,,
1967,33,7.5,"CHILE",-21.7,-69.5,,,,
1968,40,7.3,"RUSSIA",43.586,146.701,,,,
1968,15,7.2,"GREECE",39.368,24.957,,,,
1968,30,7.5,"JAPAN",32.3,132.5,,,,
1968,7,4.6,"ITALY",44.08,8,,,,
1968,7,8.2,"JAPAN",40.8,143.2,52,,,
1968,33,7.5,"JAPAN",41.5,142.7,,,,
1968,44,7.2,"JAPAN",39.4,143.1,,,,
1968,36,7.3,"PHILIPPINES",16.5,122.2,1,,,
1968,25,7.6,"INDONESIA",1.4,126.2,,,,
1968,23,7.8,"INDONESIA",0.2,119.8,200,58,,
1968,38,6.6,"TURKEY",41.8,32.3,,,,
1969,13,6.9,"INDONESIA",-3.1,118.9,600,,,
1969,22,7.8,"PORTUGAL",36.017,-10.95,,,,
1969,,7,"EGYPT",27.7,34,,,,
1969,41,6.5,"JAPAN",32.2,132.1,,,,
1969,17,5.4,"PAPUA NEW GUINEA",-6.6,146.9,,,,
1969,30,8.2,"RUSSIA",43.6,147.9,,,,
1969,51,7.7,"RUSSIA",57.7,163.6,,,,
1969,7,7.2,"GUADELOUPE (FRENCH TERRITORY)",15.8,-59.7,,,,
1970,73,7.6,"PHILIPPINES",6.8,126.7,,,,
1970,29,6,"USA",57.5,-153.9,,,,
1970,40,7.3,"PHILIPPINES",15.78,121.71,,,,
1970,44,6.5,"RUSSIA",43,47.1,,,,
1970,43,7.9,"PERU",-9.2,-78.8,,,,
1970,34,7,"JAPAN",32.2,131.7,,,,
1970,33,5.3,"PHILIPPINES",20.6,122,,,,
1970,8,7.3,"PAPUA NEW GUINEA",-4.907,145.471,3,,,
1970,7,5.1,"RUSSIA",43.84,39.34,,,,
1971,30,7.1,"USA",51.228,-177.173,,,,
1971,58,7.8,"CHILE",-32.5,-71.2,,,,
1971,47,7.9,"PAPUA NEW GUINEA",-5.5,153.9,1,,,
1971,48,7.9,"PAPUA NEW GUINEA",-4.9,153.2,,,,
1971,51,7.3,"JAPAN",41.4,143.5,,,,
1971,9,7.1,"RUSSIA",46.5,141.2,,,,
1971,29,5.5,"RUSSIA",46.7,141.4,,,,
1971,6,6.6,"RUSSIA",46.4,141.1,,,,
1971,16,6.2,"RUSSIA",46.3,140.9,,,,
1971,21,6,"RUSSIA",46.4,141.1,,,,
1971,33,7.8,"RUSSIA",56,163.3,,,,
1972,33,7.5,"TAIWAN",22.5,122.3,,,,
1972,56,7.4,"JAPAN",33.3,140.8,,,,
1972,25,7.6,"USA",56.82,-135.685,,,,
1972,10,7.1,"PAPUA NEW GUINEA",-6,152.9,,,,
1972,66,7.4,"JAPAN",33.3,140.7,,,,
1973,43,7.5,"MEXICO",18.48,-103,,,,
1973,27,7.2,"RUSSIA",50.5,156.6,,,,
1973,33,7.5,"PHILIPPINES",13.4,122.8,,,,
1973,48,7.7,"JAPAN",43.2,145.8,,,,5
1973,50,7.1,"RUSSIA",43.3,146.4,,,,
1973,,6.6,"RUSSIA",43.2,146.6,,,,
1973,14,6.7,"CHILE",-32.5,-71.5,,,,
1974,34,7,"SOLOMON ISLANDS",-7.5,155.9,,,,
1974,40,7.1,"SOLOMON ISLANDS",-7.4,155.6,,,,
1974,2,6.7,"JAPAN",34.6,138.7,,,,
1974,43,6.7,"RUSSIA",43.2,146.7,,,,
1974,13,8.1,"PERU",-12.27,-77.79,,,,
1975,33,7.7,"ATLANTIC OCEAN",35.997,-17.649,,,,
1975,15,7,"RUSSIA",43.024,147.734,,,,
1975,49,7.9,"PAPUA NEW GUINEA",-6.59,155.054,,,,
1975,50,7.6,"PHILIPPINES",12.54,125.993,1,,,
1975,2,7.7,"USA",19.451,-155.033,2,19,,1.5
1975,33,7.8,"SAMOA",-16.265,-172.467,,,,
1976,33,8,"NEW ZEALAND",-28.427,-177.657,,,,
1976,41,7,"RUSSIA",44.915,149.123,,,,
1976,5,7.5,"GUATEMALA",15.324,-89.101,,,,
1976,33,8,"PHILIPPINES",6.292,124.09,6800,6500,,134
1977,33,7.6,"SAMOA",-16.696,-172.095,,,,
1977,33,6.8,"SOLOMON ISLANDS",-9.828,163.323,,,,
1977,19,7.6,"SOLOMON ISLANDS",-9.89,160.348,,,,
1977,33,8.1,"SOLOMON ISLANDS",-9.965,160.731,,,,
1977,65,7.2,"TONGA",-22.878,-175.9,,,,
1977,33,8,"INDONESIA",-11.085,118.464,189,75,,1.2
1978,,6.6,"JAPAN",34.809,139.259,,,,
1978,33,6.7,"RUSSIA",44.026,149.002,,,,
1978,33,6.6,"RUSSIA",44.14,149.029,,,,
1978,46,6.8,"RUSSIA",44.209,148.971,,,,
1978,33,7.5,"RUSSIA",44.932,148.439,,,,
1978,33,7.6,"RUSSIA",44.244,148.862,,,,
1978,44,7.7,"JAPAN",38.19,142.03,,,,
1978,24,6.9,"PHILIPPINES",8.249,122.403,,,,
1978,17,7.4,"TAIWAN",22.282,121.512,,,,
1978,30,4.4,"SPAIN",36.37,-6.98,,,,
1979,10,6.4,"JAPAN",40.232,143.703,,,,
1979,15,7.5,"USA",60.691,-141.671,,,,
1979,49,7.6,"MEXICO",17.813,-101.276,,,,
1979,10,6.9,"SERBIA AND MONTENEGRO",42.096,19.209,,,,
1979,5,7.9,"INDONESIA",-1.679,136.04,100,,,
1979,24,7.7,"COLOMBIA",1.598,-79.358,600,20000,,8
1980,10,7.2,"PORTUGAL",38.815,-27.78,,,,
1980,44,7,"RUSSIA",43.53,146.753,,,,
1980,15,6.2,"JAPAN",34.808,139.181,,,,
1980,33,7.9,"SOLOMON ISLANDS",-12.525,165.916,,,,
1980,10,7.7,"ALGERIA",36.195,1.354,,,,
1981,,6.9,"JAPAN",38.64,142.75,,,,
1981,33,6.7,"GREECE",38.222,22.934,,,,
1981,29,6.4,"GREECE",38.209,23.288,,,,
1981,33,7.6,"NEW ZEALAND",-48.786,164.357,,,,
1981,25,7.7,"SAMOA",-14.96,-173.085,,,,
1981,28,7.3,"MEXICO",18.084,-102.084,,,,
1982,44,6.9,"JAPAN",42.158,142.361,,,,
1982,37,7.2,"JAPAN",36.194,141.702,,,,
1982,33,7.5,"TONGA",-24.133,-175.864,,,,
1982,22,6.4,"JAPAN",33.826,139.434,,,,
1983,,7.2,"GREECE",38.026,20.228,,,,
1983,17,6.9,"INDONESIA",-4.056,127.924,,,,
1983,89,7.9,"PAPUA NEW GUINEA",-4.883,153.581,,,,
1983,24,7.8,"JAPAN",40.462,139.102,100,324,,800
1983,26,5.9,"JAPAN",40.249,138.948,,,,
1983,10,6.9,"JAPAN",41.346,139.099,,,,
1983,63,7.1,"RUSSIA",55.867,161.287,,,,
1983,29,6.6,"PHILIPPINES",18.231,120.86,,,,
1983,15,7.7,"CHILE",-26.535,-70.563,,,,
1983,10,7.7,"UK TERRITORY",-6.852,72.11,,,,
1984,29,5.4,"GREECE",38.396,22.094,,,,
1984,44,7.2,"RUSSIA",44.117,148.192,,,,
1984,41,5.5,"JAPAN",31.448,140.036,,,,
1984,46,7,"JAPAN",32.386,131.945,,,,
1984,48,6.9,"JAPAN",34.006,141.5,,,,
1984,33,6.8,"RUSSIA",56.194,163.46,,,,
1985,33,8,"CHILE",-33.132,-71.708,,,,
1985,13,6.4,"GUADELOUPE (FRENCH TERRITORY)",17.013,-62.448,,,,
1985,28,8,"MEXICO",18.19,-102.533,,,,
1985,31,7.6,"MEXICO",17.802,-101.647,,,,
1986,31,8,"USA",51.52,-174.776,,,,
1986,29,7.8,"NEW ZEALAND",-28.117,-176.367,,,,
1986,34,7.8,"TAIWAN",23.901,121.574,,,,
1987,48,6.7,"JAPAN",36.988,141.689,,,,
1987,55,7.4,"PAPUA NEW GUINEA",-6.088,147.689,,,,
1987,62,7.6,"CHILE",-24.388,-70.161,,,,
1987,54,6.7,"JAPAN",32.034,131.837,,,,
1987,23,5.1,"JAPAN",37.447,137.865,,,,
1987,48,6.7,"VANUATU",-14.074,167.828,,,,
1987,16,7.3,"TONGA",-17.94,-172.225,,,,
1987,25,7,"PAPUA NEW GUINEA",-7.288,154.371,,,,
1987,48,7.4,"PAPUA NEW GUINEA",-6.266,149.06,,,,
1987,10,7.2,"USA",58.586,-143.27,,,,
1987,10,7.9,"USA",58.679,-142.786,,,,
1988,37,7.2,"CHILE",-24.753,-70.433,,,,
1988,15,7.8,"USA",57.262,-142.747,,,,
1988,53,5.4,"PHILIPPINES",18.606,121.013,,,,
1988,53,6.8,"PAPUA NEW GUINEA",-5.964,148.78,,,,
1988,36,7.6,"SOLOMON ISLANDS",-10.258,160.896,1,,,
1989,10,8.1,"AUSTRALIA",-52.341,160.568,,,,
1989,9,6.5,"USA",19.362,-155.083,,,,
1989,11,7.1,"USA",55.543,-156.835,,,,
1989,19,6.9,"USA",37.036,-121.883,,,,
1989,10,6.5,"JAPAN",39.571,143.333,,,,
1989,26,4.4,"USA TERRITORY",18.986,-68.833,,,,
1989,29,7.4,"JAPAN",39.837,142.76,,,,
1990,26,6.6,"PHILIPPINES",9.755,124.694,,,,
1990,14,6.4,"JAPAN",34.706,139.252,,,,
1990,22,7,"COSTA RICA",9.919,-84.808,,,,
1990,11,7.5,"USA TERRITORY",15.125,147.596,,,,
1990,10,6.5,"JAPAN",33.267,138.643,,,,
1990,11,5.3,"ITALY",37.3,15.438,,,,
1990,10,6.3,"TAIWAN",23.722,121.627,,,,
1991,10,6.9,"SOLOMON ISLANDS",-9.929,159.139,,,,
1991,39,5.7,"RUSSIA",48.268,154.328,,,,
1991,20,6.7,"USA",58.427,-175.45,,,,
1991,10,7.6,"COSTA RICA",9.685,-83.073,2,,,
1991,23,7.2,"SOLOMON ISLANDS",-9.094,158.442,,,,
1992,,3.7,"CHINA",18,108,,,,
1992,15,7.2,"USA",40.368,-124.316,,,,
1992,33,7.3,"PHILIPPINES",7.191,126.762,,,,
1992,29,7,"JAPAN",39.419,143.33,,,,
1992,40,7.7,"NICARAGUA",11.727,-87.386,170,489,,30
1992,28,7.8,"INDONESIA",-8.48,121.896,1169,500,,100
1993,11,6.3,"JAPAN",37.634,137.245,,,,
1993,10,6.4,"WALLIS AND FUTUNA (FRENCH TERRITORY)",-14.385,-178.252,,,,
1993,71,7.5,"RUSSIA",51.218,157.829,,,,
1993,17,7.7,"JAPAN",42.851,139.197,208,233,,1207
1993,13,6.3,"JAPAN",41.985,139.839,,,,
1993,59,7.8,"USA TERRITORY",12.982,144.801,,,,
1993,34,7,"RUSSIA",51.934,158.647,,,,
1994,18,6.7,"USA",34.213,-118.537,,,,
1994,20,7,"INDONESIA",1.015,127.733,,,,
1994,13,6.4,"JAPAN",40.608,143.683,,,,
1994,18,7.8,"INDONESIA",-10.477,112.835,238,423,,2.2
1994,26,6.6,"INDONESIA",-10.362,112.892,,,,
1994,17,6.1,"INDONESIA",-10.341,113.369,,,,
1994,10,7,"USA",40.402,-125.68,,,,
1994,14,8.3,"RUSSIA",43.773,147.321,,,,
1994,17,6.8,"INDONESIA",-1.258,127.98,1,52,,
1994,33,7.3,"RUSSIA",43.905,147.916,,,,
1994,32,7.1,"PHILIPPINES",13.525,121.067,81,225,,3.7
1994,27,7.8,"JAPAN",40.525,143.419,,,,
1995,22,6.9,"JAPAN",34.583,135.018,,,,
1995,21,7.4,"SAMOA",-15.199,-173.529,,,,
1995,21,7.2,"PHILIPPINES",12.059,125.58,,,,
1995,23,6.8,"PHILIPPINES",12.047,125.92,,,,
1995,13,6.9,"INDONESIA",-8.452,125.049,11,19,,
1995,20,7.7,"NEW CALEDONIA",-23.008,169.9,,,,
1995,11,7.1,"RUSSIA",52.629,142.827,,,,
1995,14,6.5,"GREECE",38.401,22.283,,,,
1995,46,8,"CHILE",-23.34,-70.294,,,,0.131
1995,30,7.7,"PAPUA NEW GUINEA",-5.799,154.178,,,,
1995,23,7.4,"MEXICO",16.779,-98.597,,,,
1995,33,8,"MEXICO",19.055,-104.205,1,,,
1995,28,7.1,"JAPAN",27.929,130.175,,,,
1995,20,6.8,"JAPAN",28.094,130.148,,,,
1995,20,6.7,"CHILE",-28.906,-71.417,,,,
1995,10,7.2,"EGYPT",28.826,34.799,,,,
1995,33,7.9,"RUSSIA",44.663,149.3,,,,
1996,24,7.9,"INDONESIA",0.729,119.931,9,63,,1.2
1996,33,8.2,"INDONESIA",-0.891,136.952,110,100,,4.2
1996,10,7.5,"PERU",-9.593,-79.587,12,57,,
1996,21,7.1,"MEXICO",15.978,-98.07,,,,
1996,33,7.9,"USA",51.564,-177.632,,,,
1996,24,7.3,"USA",51.478,-176.847,,,,
1996,33,5.7,"JAPAN",31.555,139.931,,,,
1996,10,6.9,"CHILE",-22.118,-113.436,,,,
1996,10,6.6,"JAPAN",30.568,131.093,,,,
1996,22,6.7,"JAPAN",31.885,131.468,,,,
1996,33,7.7,"PERU",-14.993,-75.675,,,,
1996,49,6.7,"JAPAN",31.789,131.314,,,,
1997,33,7.7,"SOLOMON ISLANDS",-12.584,166.676,,,,
1997,20,7,"VENEZUELA",10.598,-63.486,,,,
1997,10,6.2,"JAPAN",31.959,141.878,,,,
1997,167,7.7,"TONGA",-22.1,-176.77,,,,
1997,33,7.8,"RUSSIA",54.841,162.035,,,,
1998,10,8.1,"ANTARCTICA",-62.877,149.527,,,,
1998,33,7.5,"TAIWAN",22.306,125.308,,,,
1998,25,7,"PAPUA NEW GUINEA",-2.943,142.582,2205,1000,28,
1999,13,7.6,"TURKEY",40.76,29.97,155,,,
1999,33,7.5,"VANUATU",-16.423,168.214,5,,,
2000,26,7.6,"INDONESIA",-1.105,123.573,,,,
2000,10,7.9,"AUSTRALIA",-13.802,97.453,,,,
2000,10,6.1,"JAPAN",34.221,139.131,,,,
2000,10,6.1,"JAPAN",34.319,139.26,,,,
2000,10,6.5,"JAPAN",33.901,139.376,,,,
2000,33,8,"PAPUA NEW GUINEA",-3.98,152.169,,,,
2001,60,7.7,"EL SALVADOR",13.049,-88.66,,,,
2001,33,8.4,"PERU",-16.265,-73.641,26,,70,
2001,14,6.8,"TAIWAN",23.954,122.734,,,,
2002,21,7.2,"VANUATU",-17.6,167.856,,,,
2002,31,7.5,"PHILIPPINES",6.033,124.249,,,,
2002,33,6.4,"JAPAN",23.346,124.09,,,,
2002,33,7.1,"TAIWAN",24.279,122.179,,,,
2002,13,7.6,"PAPUA NEW GUINEA",-3.302,142.945,,,,
2002,21,6.5,"INDIA",13.036,93.068,,,,
2003,33,7.3,"SOLOMON ISLANDS",-10.491,160.77,,,,
2003,24,7.5,"MEXICO",18.77,-104.104,,,,
2003,12,6.8,"ALGERIA",36.964,3.634,,,,
2003,8,5.7,"ALGERIA",36.939,3.578,,,,
2003,28,7.2,"NEW ZEALAND",-45.104,167.144,,,,
2003,27,8.3,"JAPAN",41.815,143.91,,,,
2003,10,7,"JAPAN",37.812,142.619,,,,
2003,33,7.8,"USA",51.146,178.65,,,,
2003,10,6.1,"NEW CALEDONIA",-22.107,169.35,,,,
2004,17,6.7,"INDONESIA",-3.12,127.4,,,,
2004,27,5.3,"JORDAN",31.675,35.551,,,,
2004,14,7.2,"JAPAN",33.07,136.618,,,,
2004,10,7.4,"JAPAN",33.184,137.071,,,,
2004,10,6.6,"CANADA",49.277,-128.772,,,,
2004,10,7.5,"INDONESIA",-8.152,124.868,,,,
2004,14,6.3,"GUADELOUPE (FRENCH TERRITORY)",15.679,-61.706,,,,
2004,10,7.1,"NEW ZEALAND",-46.676,164.721,,,,
2004,39,7,"JAPAN",43.006,145.119,,,,
2004,10,8.1,"AUSTRALIA",-49.312,161.345,,,,
2004,30,9.1,"INDONESIA",3.316,95.854,227899,,,10000
2005,28,6.6,"JAPAN",34.064,141.491,,,,
2005,12,5.8,"GUADELOUPE (FRENCH TERRITORY)",15.775,-61.744,,,,
2005,30,8.7,"INDONESIA",2.085,97.108,10,,,
2005,19,6.7,"INDONESIA",-1.644,99.607,,,,
2005,10,7.2,"USA",41.301,-125.97,,,,
2005,36,7.2,"JAPAN",38.276,142.039,,,,
2005,11,7,"JAPAN",38.107,144.896,,,,
2006,30,6.7,"INDONESIA",-3.595,127.214,4,,,
2006,55,8,"TONGA",-20.187,-174.123,,,,
2006,34,7.7,"INDONESIA",-9.254,107.411,802,498,,55
2006,28,6.9,"SAMOA",-16.592,-172.033,,,,
2006,39,6.7,"USA",19.878,-155.935,,,,
2006,10,8.3,"RUSSIA",46.592,153.266,,1,,
2006,10,7,"CHINA",21.799,120.547,,,,
2007,10,8.1,"RUSSIA",46.243,154.524,,,,
2007,34,7.1,"VANUATU",-20.617,169.357,,,,
2007,8,6.7,"JAPAN",37.336,136.588,,,,
2007,10,8.1,"SOLOMON ISLANDS",-8.46,157.044,52,,,
2007,,6.2,"CHILE",-45.285,-72.606,10,,,
2007,10,6.6,"JAPAN",37.57,138.478,,,,
2007,5,6.2,"RUSSIA",47.116,141.798,,,,
2007,21,6.7,"USA",51.307,-179.971,,,,
2007,39,8,"PERU",-13.386,-76.603,3,,,
2007,35,7.2,"SOLOMON ISLANDS",-11.61,165.762,,,,
2007,34,8.4,"INDONESIA",-4.438,101.367,,,,
2007,10,7.4,"NEW ZEALAND",-49.418,163.954,,,,
2007,40,7.7,"CHILE",-22.247,-69.89,,,,
2007,156,7.4,"MARTINIQUE (FRENCH TERRITORY)",14.944,-61.274,,,,
2007,153,7.8,"KERMADEC ISLANDS",-25.996,-177.514,,,,
2008,25,6.5,"INDONESIA",-2.486,99.972,,,,
2008,35,7.3,"NEW CALEDONIA",-20.071,168.892,,,,
2008,22,6.9,"JAPAN",37.552,142.214,,,,
2008,25,6.8,"JAPAN",41.892,143.754,,,,
2008,30,7.3,"INDONESIA",1.271,122.091,,,,
2009,17,7.6,"INDONESIA",-0.414,132.885,,,,
2009,23,7.3,"INDONESIA",-0.691,133.305,,,,
2009,36,7.4,"RUSSIA",46.857,155.154,,,,
2009,22,7.2,"INDONESIA",3.884,126.397,,,,
2009,34,7.6,"TONGA",-23.046,-174.659,,,,
