"movie_title","director_name","title_year","duration","genre","gross","budget","imdb_score","classify_score","cast_total_facebook_likes"
"Executive Decision ","Stuart Baird",1996,133,"Action",68750000,5.5e+07,6.4,"Average",2916
"Mr. Popper's Penguins ","Mark Waters",2011,94,"Comedy",68218041,5.5e+07,6,"Average",2820
"The Forbidden Kingdom ","Rob Minkoff",2008,104,"Action",25040293,5.5e+07,6.6,"Average",7247
"Free Birds ","Jimmy Hayward",2013,91,"Comedy",55747724,5.5e+07,5.9,"Average",3104
"Alien 3 ","David Fincher",1992,145,"Action",55473600,5e+07,6.4,"Average",1543
"Evita ","Alan Parker",1996,135,"Drama",49994804,5.5e+07,6.3,"Average",164
"Ronin ","John Frankenheimer",1998,122,"Action",41609593,5.5e+07,7.3,"Hit",24270
"The Ghost and the Darkness ","Stephen Hopkins",1996,110,"Drama",38553833,5.5e+07,6.8,"Average",1752
"Paddington ","Paul King",2014,95,"Comedy",76137505,5.5e+07,7.2,"Hit",3697
"The Watch ","Akiva Schaffer",2012,102,"Action",34350553,6.8e+07,5.7,"Average",2488
"The Hunted ","William Friedkin",2003,94,"Action",34238611,5.5e+07,6,"Average",2248
"Instinct ","Jon Turteltaub",1999,126,"Drama",34098563,5.5e+07,6.5,"Average",13406
"Stuck on You ","Bobby Farrelly",2003,118,"Comedy",33828318,5.5e+07,5.8,"Average",14036
"Semi-Pro ","Kent Alterman",2008,99,"Comedy",33472850,5.5e+07,5.8,"Average",10026
"The Pirates! Band of Misfits ","Peter Lord",2012,88,"Comedy",31051126,5.5e+07,6.7,"Average",6254
"Changeling ","Clint Eastwood",2008,141,"Drama",35707327,5.5e+07,7.8,"Hit",12840
"Chain Reaction ","Andrew Davis",1996,107,"Action",20550712,5e+07,5.6,"Average",31014
"The Fan ","Tony Scott",1996,116,"Action",18573791,5.5e+07,5.8,"Average",24618
"The Phantom of the Opera ","Joel Schumacher",2004,143,"Romance",51225796,7e+07,7.4,"Hit",20660
"Elizabeth: The Golden Age ","Shekhar Kapur",2007,114,"Drama",16264475,5.5e+07,6.9,"Average",16899
"Æon Flux ","Karyn Kusama",2005,93,"Action",25857987,6.2e+07,5.5,"Average",10185
"Gods and Generals ","Ron Maxwell",2003,280,"Drama",12870569,5.6e+07,6.3,"Average",1671
"Turbulence ","Robert Butler",1997,100,"Action",11466088,7.1e+07,4.7,"Average",3952
"Imagine That ","Karey Kirkpatrick",2009,107,"Comedy",16088610,5.5e+07,5.6,"Average",3742
"Muppets Most Wanted ","James Bobin",2014,119,"Comedy",51178893,5e+07,6.4,"Average",6089
"Thunderbirds ","Jonathan Frakes",2004,95,"Action",6768055,5.7e+07,4.2,"Average",2260
"Burlesque ","Steve Antin",2010,119,"Romance",39440655,5.5e+07,6.4,"Average",4315
"A Very Long Engagement ","Jean-Pierre Jeunet",2004,133,"Romance",6167817,4.7e+07,7.7,"Hit",405
"Blade II ","Guillermo del Toro",2002,117,"Action",81645152,5.4e+07,6.7,"Average",15371
"Seven Pounds ","Gabriele Muccino",2008,123,"Romance",69951824,5.5e+07,7.7,"Hit",14727
"Bullet to the Head ","Walter Hill",2012,92,"Action",9483821,5.5e+07,5.7,"Average",25418
"The Godfather: Part III ","Francis Ford Coppola",1990,170,"Drama",66676062,5.4e+07,7.6,"Hit",16949
"Elizabethtown ","Cameron Crowe",2005,123,"Comedy",26838389,5.7e+07,6.4,"Average",12700
"You, Me and Dupree ","Anthony Russo",2006,110,"Comedy",75604320,5.4e+07,5.6,"Average",847
"Superman II ","Richard Lester",1980,116,"Action",108200000,5.4e+07,6.8,"Average",2908
"Gigli ","Martin Brest",2003,121,"Comedy",5660084,5.4e+07,2.4,"Flop",286
"All the King's Men ","Steven Zaillian",2006,128,"Drama",7221458,5.5e+07,6.2,"Average",27614
"Shaft ","John Singleton",2000,99,"Action",70327868,4.6e+07,5.9,"Average",26527
"Anastasia ","Don Bluth",1997,94,"Romance",58297830,5e+07,7.1,"Hit",6017
"Moulin Rouge! ","Baz Luhrmann",2001,127,"Romance",57386369,52500000,7.6,"Hit",2601
"Domestic Disturbance ","Harold Becker",2001,89,"Horror",45207112,5.3e+07,5.5,"Average",13390
"Black Mass ","Scott Cooper",2015,123,"Drama",62563543,5.3e+07,7,"Average",63769
"Flags of Our Fathers ","Clint Eastwood",2006,135,"Drama",33574332,9e+07,7.1,"Hit",24468
"Law Abiding Citizen ","F. Gary Gray",2009,118,"Drama",73343413,5e+07,7.4,"Hit",22517
"Grindhouse ","Robert Rodriguez",2007,189,"Action",25031037,5.3e+07,7.6,"Hit",22186
"Beloved ","Jonathan Demme",1998,172,"Drama",22843047,5.5e+07,5.9,"Average",2397
"Lucky You ","Curtis Hanson",2007,124,"Romance",5755286,5.5e+07,5.9,"Average",26334
"Catch Me If You Can ","Steven Spielberg",2002,141,"Drama",164435221,5.2e+07,8,"Hit",48153
"Zero Dark Thirty ","Kathryn Bigelow",2012,157,"Drama",95720716,4e+07,7.4,"Hit",2759
"The Break-Up ","Peyton Reed",2006,106,"Comedy",118683135,5.2e+07,5.8,"Average",8315
"Mamma Mia! ","Phyllida Lloyd",2008,108,"Comedy",143704210,5.2e+07,6.3,"Average",26002
"Valentine's Day ","Garry Marshall",2010,125,"Comedy",110476776,5.2e+07,5.7,"Average",45696
"The Dukes of Hazzard ","Jay Chandrasekhar",2005,107,"Action",80270227,5e+07,5.1,"Average",2297
"The Thin Red Line ","Terrence Malick",1998,215,"Drama",36385763,5.2e+07,7.6,"Hit",1937
"The Change-Up ","David Dobkin",2011,118,"Comedy",37035845,5.2e+07,6.4,"Average",28045
"Man on the Moon ","Milos Forman",1999,118,"Comedy",34580635,5.2e+07,7.4,"Hit",209
"Casino ","Martin Scorsese",1995,178,"Drama",42438300,5.2e+07,8.2,"Hit",24183
"From Paris with Love ","Pierre Morel",2010,92,"Action",23324666,5.2e+07,6.5,"Average",488
"Bulletproof Monk ","Paul Hunter",2003,104,"Action",23020488,5.2e+07,5.5,"Average",2422
"Me, Myself & Irene ","Bobby Farrelly",2000,116,"Comedy",90567722,5.1e+07,6.5,"Average",1711
"Barnyard ","Steve Oedekerk",2006,90,"Comedy",72601713,5.1e+07,5.6,"Average",2055
"The Twilight Saga: New Moon ","Chris Weitz",2009,130,"Romance",296623634,5e+07,4.6,"Average",64040
"Shrek ","Andrew Adamson",2001,90,"Comedy",267652016,6e+07,7.9,"Hit",275
"The Adjustment Bureau ","George Nolfi",2011,106,"Romance",62453315,50200000,7.1,"Hit",14607
"Robin Hood: Prince of Thieves ","Kevin Reynolds",1991,155,"Action",165500000,4.8e+07,6.9,"Average",38518
"Jerry Maguire ","Cameron Crowe",1996,139,"Comedy",153620822,5e+07,7.3,"Hit",12182
"Ted ","Seth MacFarlane",2012,112,"Comedy",218628680,5e+07,7,"Average",21773
"As Good as It Gets ","James L. Brooks",1997,139,"Comedy",147637474,5e+07,7.7,"Hit",1474
"Patch Adams ","Tom Shadyac",1998,115,"Comedy",135014968,5e+07,6.7,"Average",74382
"Anchorman 2: The Legend Continues ","Adam McKay",2013,143,"Comedy",2175312,5e+07,6.3,"Average",28176
"Mr. Deeds ","Steven Brill",2002,96,"Comedy",126203320,5e+07,5.8,"Average",26826
"Super 8 ","J.J. Abrams",2011,112,"Sci-Fi",126975169,5e+07,7.1,"Hit",3388
"Erin Brockovich ","Steven Soderbergh",2000,131,"Drama",125548685,5.2e+07,7.3,"Hit",10003
"How to Lose a Guy in 10 Days ","Donald Petrie",2003,116,"Comedy",105807520,5e+07,6.4,"Average",14087
"22 Jump Street ","Phil Lord",2014,112,"Action",191616238,5e+07,7.1,"Hit",19428
"Interview with the Vampire: The Vampire Chronicles ","Neil Jordan",1994,123,"Drama",105264608,6e+07,7.6,"Hit",25697
"Yes Man ","Peyton Reed",2008,104,"Comedy",97680195,7e+07,6.8,"Average",29505
"Central Intelligence ","Rawson Marshall Thurber",2016,107,"Action",126088877,5e+07,6.6,"Average",14569
"Stepmom ","Chris Columbus",1998,124,"Comedy",91030827,5e+07,6.7,"Average",9988
"Daddy's Home ","Sean Anders",2015,96,"Comedy",150315155,5e+07,6.1,"Average",10886
"Into the Woods ","Rob Marshall",2014,125,"Comedy",127997349,5e+07,6,"Average",62837
"Inside Man ","Spike Lee",2006,129,"Drama",88504640,4.5e+07,7.6,"Hit",19148
"Payback ","Brian Helgeland",1999,90,"Action",81517441,5e+07,7.1,"Hit",3148
"Congo ","Frank Marshall",1995,109,"Action",81022333,5e+07,5,"Average",1761
"Knowing ","Alex Proyas",2009,121,"Drama",79948113,5e+07,6.2,"Average",13421
"Failure to Launch ","Tom Dey",2006,95,"Comedy",88658172,5e+07,5.6,"Average",37967
"Crazy, Stupid, Love. ","Glenn Ficarra",2011,118,"Comedy",84244877,5e+07,7.4,"Hit",57426
"Garfield ","Peter Hewitt",2004,80,"Comedy",75367693,3.5e+07,5,"Average",13430
"Christmas with the Kranks ","Joe Roth",2004,99,"Comedy",73701902,6e+07,5.2,"Average",6729
"Moneyball ","Bennett Miller",2011,133,"Drama",75605492,5e+07,7.6,"Hit",53094
"Outbreak ","Wolfgang Petersen",1995,127,"Action",67823573,5e+07,6.6,"Average",30383
"Non-Stop ","Jaume Collet-Serra",2014,106,"Action",91439400,5e+07,7,"Average",16967
"Race to Witch Mountain ","Andy Fickman",2009,98,"Action",67128202,6.5e+07,5.7,"Average",14007
"V for Vendetta ","James McTeigue",2005,132,"Action",70496802,5.4e+07,8.2,"Hit",22417
"Shanghai Knights ","David Dobkin",2003,114,"Action",60470220,5e+07,6.2,"Average",428
"Curious George ","Matthew O'Callaghan",2006,78,"Comedy",58336565,5e+07,6.6,"Average",11124
"Herbie Fully Loaded ","Angela Robinson",2005,101,"Comedy",66002004,5e+07,4.7,"Average",2177
"Don't Say a Word ","Gary Fleder",2001,113,"Drama",54997476,5e+07,6.3,"Average",3341
"Hansel & Gretel: Witch Hunters ","Tommy Wirkola",2013,98,"Action",55682070,5e+07,6.1,"Average",11946
"Unfaithful ","Adrian Lyne",2002,124,"Drama",52752475,5e+07,6.7,"Average",2583
"I Am Number Four ","D.J. Caruso",2011,109,"Action",55092830,6e+07,6.1,"Average",15608
"Syriana ","Stephen Gaghan",2005,128,"Drama",50815288,5e+07,7,"Average",14747
"13 Hours ","Michael Bay",2016,144,"Action",52822418,5e+07,7.4,"Hit",3580
"The Book of Life ","Jorge R. Gutiérrez",2014,95,"Comedy",50150619,5e+07,7.3,"Hit",19513
"Firewall ","Richard Loncraine",2006,105,"Horror",48745150,5e+07,5.8,"Average",101383
"Absolute Power ","Clint Eastwood",1997,121,"Action",50007168,5e+07,6.7,"Average",19139
"G.I. Jane ","Ridley Scott",1997,125,"Action",48154732,5e+07,5.8,"Average",15569
"The Game ","David Fincher",1997,129,"Drama",48265581,5e+07,7.8,"Hit",1397
"Silent Hill ","Christophe Gans",2006,132,"Horror",46982632,5e+07,6.6,"Average",1933
"The Replacements ","Howard Deutch",2000,118,"Comedy",44737059,5e+07,6.5,"Average",24024
"American Reunion ","Jon Hurwitz",2012,113,"Comedy",56724080,5e+07,6.7,"Average",8398
"The Negotiator ","F. Gary Gray",1998,140,"Action",44484065,5e+07,7.3,"Hit",20152
"Into the Storm ","Steven Quale",2014,89,"Action",47553512,5e+07,5.8,"Average",1367
"Beverly Hills Cop III ","John Landis",1994,104,"Action",42610000,5.5e+07,5.5,"Average",1093
"Gremlins 2: The New Batch ","Joe Dante",1990,106,"Comedy",41482207,5e+07,6.3,"Average",19610
"The Judge ","David Dobkin",2014,141,"Drama",47105085,5e+07,7.4,"Hit",30183
"The Peacemaker ","Mimi Leder",1997,124,"Action",41256277,5e+07,5.9,"Average",1289
"Resident Evil: Apocalypse ","Alexander Witt",2004,98,"Action",50740078,4.5e+07,6.2,"Average",16791
"Bridget Jones: The Edge of Reason ","Beeban Kidron",2004,108,"Comedy",40203020,4e+07,5.9,"Average",15634
"Out of Time ","Carl Franklin",2003,114,"Romance",40905277,5e+07,6.5,"Average",19739
"On Deadly Ground ","Steven Seagal",1994,101,"Action",38590500,5e+07,4.4,"Average",1860
"The Adventures of Sharkboy and Lavagirl 3-D ","Robert Rodriguez",2005,93,"Action",39177541,5e+07,3.5,"Average",14899
"The Beach ","Danny Boyle",2000,119,"Drama",39778599,5e+07,6.6,"Average",29461
"Raising Helen ","Garry Marshall",2004,119,"Comedy",37486138,5e+07,6,"Average",2052
"Ninja Assassin ","James McTeigue",2009,99,"Action",38105077,4e+07,6.4,"Average",701
"For Love of the Game ","Sam Raimi",1999,137,"Romance",35168395,5e+07,6.5,"Average",25469
"Striptease ","Andrew Bergman",1996,117,"Comedy",32800000,4e+07,4.3,"Average",3016
"Marmaduke ","Tom Dey",2010,87,"Comedy",33643461,5e+07,4.2,"Average",20061
"Hereafter ","Clint Eastwood",2010,129,"Drama",32741596,5e+07,6.5,"Average",14344
"Murder by Numbers ","Barbet Schroeder",2002,115,"Horror",31874869,5e+07,6.1,"Average",34606
"Assassins ","Richard Donner",1995,132,"Action",30306268,5e+07,6.3,"Average",58528
"Hannibal Rising ","Peter Webber",2007,131,"Drama",27667947,5e+07,6.2,"Average",1344
"The Story of Us ","Rob Reiner",1999,95,"Comedy",27067160,5e+07,5.9,"Average",14706
"The Host ","Andrew Niccol",2013,125,"Action",26616999,4e+07,5.9,"Average",1300
"Basic ","John McTiernan",2003,98,"Action",26536120,5e+07,6.5,"Average",3357
"Blood Work ","Clint Eastwood",2002,110,"Action",26199517,5e+07,6.4,"Average",18635
"The International ","Tom Tykwer",2009,118,"Action",25450527,5e+07,6.5,"Average",7654
"Escape from L.A. ","John Carpenter",1996,101,"Action",25407250,5e+07,5.7,"Average",15935
"The Iron Giant ","Brad Bird",1999,90,"Action",23159305,7e+07,8,"Hit",16358
"The Life Aquatic with Steve Zissou ","Wes Anderson",2004,119,"Comedy",24006726,5e+07,7.3,"Hit",15757
"Free State of Jones ","Gary Ross",2016,139,"Action",20389967,5e+07,6.7,"Average",12786
"The Life of David Gale ","Alan Parker",2003,130,"Drama",19593740,5e+07,7.5,"Hit",32637
"Man of the House ","Stephen Herek",2005,100,"Action",19118247,4e+07,5.4,"Average",6171
"Run All Night ","Jaume Collet-Serra",2015,114,"Action",26442251,5e+07,6.6,"Average",16992
"Eastern Promises ","David Cronenberg",2007,96,"Horror",17114882,2.5e+07,7.7,"Hit",17211
"Into the Blue ","John Stockwell",2005,110,"Action",18472363,5e+07,5.8,"Average",25049
"The Messenger: The Story of Joan of Arc ","Luc Besson",1999,158,"Drama",14131298,3.9e+08,6.4,"Average",144
"Your Highness ","David Gordon Green",2011,102,"Comedy",21557240,49900000,5.6,"Average",45202
"Dream House ","Jim Sheridan",2011,84,"Drama",21283440,5.5e+07,6,"Average",8018
"Mad City ","Costa-Gavras",1997,115,"Drama",10556196,5e+07,6.2,"Average",2606
"Baby's Day Out ","Patrick Read Johnson",1994,99,"Comedy",16671505,5e+07,5.9,"Average",2949
"The Scarlet Letter ","Roland Joffé",1995,135,"Romance",10400000,5e+07,5.1,"Average",15820
"Fair Game ","Doug Liman",2010,108,"Drama",9528092,2.2e+07,6.8,"Average",10191
"Domino ","Tony Scott",2005,127,"Action",10137232,5e+07,6,"Average",5702
"Jade ","William Friedkin",1995,107,"Drama",9795017,5e+07,5.1,"Average",5461
"Gamer ","Mark Neveldine",2009,95,"Action",20488579,5e+07,5.8,"Average",29926
"Beautiful Creatures ","Richard LaGravenese",2013,124,"Romance",19445217,6e+07,6.2,"Average",3580
"Death to Smoochy ","Danny DeVito",2002,109,"Comedy",8355815,5.5e+07,6.4,"Average",52885
"Zoolander 2 ","Ben Stiller",2016,102,"Comedy",28837115,5e+07,4.8,"Average",24107
"The Big Bounce ","George Armitage",2004,88,"Comedy",6471394,5e+07,4.9,"Average",11972
"What Planet Are You From? ","Mike Nichols",2000,87,"Comedy",6291602,5e+07,5.6,"Average",3954
"Drive Angry ","Patrick Lussier",2011,104,"Action",10706786,5e+07,5.5,"Average",16481
"Street Fighter: The Legend of Chun-Li ","Andrzej Bartkowiak",2009,96,"Action",8742261,1.8e+07,3.7,"Average",1385
"The One ","James Wong",2001,85,"Action",43905746,4.9e+07,5.9,"Average",32831
"The Adventures of Ford Fairlane ","Renny Harlin",1990,104,"Action",21413502,4e+07,6.3,"Average",2795
"Traffic ","Steven Soderbergh",2000,190,"Drama",124107476,4.8e+07,7.6,"Hit",1418
"Indiana Jones and the Last Crusade ","Steven Spielberg",1989,127,"Action",197171806,4.8e+07,8.3,"Hit",12884
"Chappie ","Neill Blomkamp",2015,120,"Action",31569268,4.9e+07,6.9,"Average",23051
"The Bone Collector ","Phillip Noyce",1999,118,"Drama",66488090,4.8e+07,6.7,"Average",29748
"Panic Room ","David Fincher",2002,112,"Drama",95308367,4.8e+07,6.8,"Average",18141
"Three Kings ","David O. Russell",1999,114,"Action",60652036,4.8e+07,7.1,"Hit",3743
"Child 44 ","Daniel Espinosa",2015,137,"Drama",1206135,5e+07,6.4,"Average",27666
"Rat Race ","Jerry Zucker",2001,112,"Comedy",56607223,4.8e+07,6.4,"Average",1823
"K-PAX ","Iain Softley",2001,120,"Drama",50173190,4.8e+07,7.4,"Hit",33615
"Kate & Leopold ","James Mangold",2001,123,"Comedy",47095453,4.8e+07,6.4,"Average",22209
"Bedazzled ","Harold Ramis",2000,93,"Comedy",37879996,4.8e+07,6,"Average",5390
"The Cotton Club ","Francis Ford Coppola",1984,123,"Drama",25900000,5.8e+07,6.5,"Average",18793
"3:10 to Yuma ","James Mangold",2007,122,"Drama",53574088,5.5e+07,7.8,"Hit",33548
"Taken 3 ","Olivier Megaton",2014,115,"Action",89253340,4.8e+07,6,"Average",16967
"Out of Sight ","Steven Soderbergh",1998,123,"Romance",37339525,4.8e+07,7,"Average",3768
"The Cable Guy ","Ben Stiller",1996,96,"Comedy",60154431,4.7e+07,6,"Average",3718
"Dick Tracy ","Warren Beatty",1990,105,"Action",103738726,1e+08,6.1,"Average",2096
"The Thomas Crown Affair ","John McTiernan",1999,113,"Romance",69304264,4.8e+07,6.8,"Average",4660
"Riding in Cars with Boys ","Penny Marshall",2001,132,"Comedy",29781453,4.8e+07,6.4,"Average",4796
"Happily N'Ever After ","Paul Bolger",2006,75,"Comedy",15519841,4.7e+07,4.5,"Average",6863
"Mary Reilly ","Stephen Frears",1996,108,"Romance",5600000,4.7e+07,5.8,"Average",8349
"My Best Friend's Wedding ","P.J. Hogan",1997,105,"Comedy",126805112,4.6e+07,6.3,"Average",12344
"America's Sweethearts ","Joe Roth",2001,102,"Comedy",93607673,4.8e+07,5.7,"Average",9176
"Insomnia ","Christopher Nolan",2002,118,"Drama",67263182,4.6e+07,7.2,"Hit",15658
"Star Trek: First Contact ","Jonathan Frakes",1996,111,"Action",92001027,4.5e+07,7.6,"Hit",6315
"Jonah Hex ","Jimmy Hayward",2010,81,"Action",10539414,4.7e+07,4.7,"Average",14619
"Courage Under Fire ","Edward Zwick",1996,116,"Action",58918501,4.6e+07,6.6,"Average",33233
"Liar Liar ","Tom Shadyac",1997,86,"Comedy",181395380,4.5e+07,6.8,"Average",2070
"The Infiltrator ","Brad Furman",2016,127,"Drama",14946229,2.5e+07,7.3,"Hit",2104
"The Flintstones ","Brian Levant",1994,91,"Comedy",130512915,4.5e+07,4.8,"Average",3244
"Taken 2 ","Olivier Megaton",2012,98,"Action",139852971,4.5e+07,6.3,"Average",16410
"Scary Movie 3 ","David Zucker",2003,84,"Comedy",110000082,4.8e+07,5.5,"Average",3629
"Miss Congeniality ","Donald Petrie",2000,109,"Action",106807667,4.5e+07,6.2,"Average",1574
"Journey to the Center of the Earth ","Eric Brevig",2008,93,"Action",101702060,4.5e+07,5.8,"Average",17925
"The Princess Diaries 2: Royal Engagement ","Garry Marshall",2004,113,"Comedy",95149435,4e+07,5.7,"Average",15362
"The Pelican Brief ","Alan J. Pakula",1993,141,"Drama",100768056,4.5e+07,6.5,"Average",30063
"The Client ","Joel Schumacher",1994,119,"Drama",92115211,4.5e+07,6.7,"Average",4043
"The Bucket List ","Rob Reiner",2007,97,"Comedy",93452056,4.5e+07,7.4,"Hit",14868
"Patriot Games ","Phillip Noyce",1992,117,"Action",83287363,4.5e+07,6.9,"Average",12757
"Monster-in-Law ","Robert Luketic",2005,101,"Comedy",82931301,6e+07,5.5,"Average",6292
"Prisoners ","Denis Villeneuve",2013,153,"Drama",60962878,4.6e+07,8.1,"Hit",37321
"Training Day ","Antoine Fuqua",2001,122,"Drama",76261036,4.5e+07,7.7,"Hit",22370
"Galaxy Quest ","Dean Parisot",1999,102,"Comedy",71423726,4.5e+07,7.3,"Hit",26998
"Scary Movie 2 ","Keenen Ivory Wayans",2001,83,"Comedy",71277420,4.5e+07,5.2,"Average",1645
"The Muppets ","James Bobin",2011,103,"Comedy",88625922,4.5e+07,7.1,"Hit",1336
"Blade ","Stephen Norrington",1998,110,"Action",70001065,4.5e+07,7.1,"Hit",3174
"Coach Carter ","Thomas Carter",2005,136,"Drama",67253092,3e+07,7.2,"Hit",20299
"Changing Lanes ","Roger Michell",2002,91,"Drama",66790248,4.5e+07,6.5,"Average",758
"Anaconda ","Luis Llosa",1997,89,"Action",65557989,4.5e+07,4.6,"Average",3717
"Coyote Ugly ","David McNally",2000,107,"Comedy",60786269,4.5e+07,5.6,"Average",3106
"Love Actually ","Richard Curtis",2003,129,"Comedy",59365105,4.5e+07,7.7,"Hit",28886
"A Bug's Life ","John Lasseter",1998,95,"Comedy",162792677,1.2e+08,7.2,"Hit",24205
"From Hell ","Albert Hughes",2001,122,"Horror",31598308,3.5e+07,6.8,"Average",41636
"The Specialist ","Luis Llosa",1994,110,"Action",57362581,4.5e+07,5.4,"Average",13331
"Tin Cup ","Ron Shelton",1996,135,"Comedy",53854588,4.5e+07,6.3,"Average",3648
"Kicking & Screaming ","Jesse Dylan",2005,95,"Comedy",52580895,4.5e+07,5.6,"Average",27351
"The Hitchhiker's Guide to the Galaxy ","Garth Jennings",2005,109,"Comedy",51019112,5e+07,6.8,"Average",14073
"Fat Albert ","Joel Zwick",2004,93,"Comedy",48114556,2.6e+07,4.3,"Average",4604
"Resident Evil: Extinction ","Russell Mulcahy",2007,94,"Action",50648679,4.5e+07,6.3,"Average",16225
"Blended ","Frank Coraci",2014,117,"Comedy",46280507,4e+07,6.5,"Average",49743
"Last Holiday ","Wayne Wang",2006,112,"Comedy",38360195,4.5e+07,6.4,"Average",3757
"The River Wild ","Curtis Hanson",1994,111,"Action",46815748,4.5e+07,6.3,"Average",12161
"The Indian in the Cupboard ","Frank Oz",1995,96,"Drama",35617599,4.5e+07,5.9,"Average",2965
"Savages ","Oliver Stone",2012,141,"Drama",47307550,4.5e+07,6.5,"Average",1948
"Cellular ","David R. Ellis",2004,94,"Action",32003620,2.5e+07,6.5,"Average",1102
"Johnny English ","Peter Howitt",2003,87,"Action",27972410,3.5e+07,6.1,"Average",1461
"The Ant Bully ","John A. Davis",2006,88,"Comedy",28133159,5e+07,5.9,"Average",33822
"Dune ","David Lynch",1984,177,"Action",27400000,4e+07,6.6,"Average",2449
"Across the Universe ","Julie Taymor",2007,133,"Romance",24343673,4.5e+07,7.4,"Hit",5405
"Revolutionary Road ","Sam Mendes",2008,119,"Romance",22877808,3.5e+07,7.3,"Hit",53895
"16 Blocks ","Richard Donner",2006,102,"Action",36883539,5.2e+07,6.6,"Average",15053
"Babylon A.D. ","Mathieu Kassovitz",2008,101,"Action",22531698,7e+07,5.6,"Average",15990
"The Glimmer Man ","John Gray",1996,91,"Action",20400913,4.5e+07,5.3,"Average",3855
"Multiplicity ","Harold Ramis",1996,117,"Comedy",20101861,4.5e+07,6,"Average",2348
"Aliens in the Attic ","John Schultz",2009,86,"Comedy",25200412,4.5e+07,5.4,"Average",3423
"The Pledge ","Sean Penn",2001,124,"Drama",19719930,4.5e+07,6.8,"Average",793
"The Producers ","Susan Stroman",2005,134,"Comedy",19377727,4.5e+07,6.4,"Average",24351
"The Phantom ","Simon Wincer",1996,100,"Action",17300889,4.5e+07,4.9,"Average",3855
"All the Pretty Horses ","Billy Bob Thornton",2000,220,"Romance",15527125,5.7e+07,5.8,"Average",15006
"Nixon ","Oliver Stone",1995,212,"Drama",13560960,5e+07,7.1,"Hit",21130
"The Ghost Writer ","Roman Polanski",2010,128,"Horror",15523168,4.5e+07,7.2,"Hit",2507
"Deep Rising ","Stephen Sommers",1998,106,"Action",11146409,4.5e+07,6,"Average",6558
"Miracle at St. Anna ","Spike Lee",2008,160,"Action",7916887,4.5e+07,6,"Average",26982
"Curse of the Golden Flower ","Yimou Zhang",2006,114,"Romance",6565495,4.5e+07,7,"Average",949
"Bangkok Dangerous ","Danny Pang",2008,99,"Action",15279680,4e+07,5.4,"Average",12166
"Big Trouble ","Barry Sonnenfeld",2002,74,"Comedy",7262288,4e+07,6.5,"Average",13917
"Love in the Time of Cholera ","Mike Newell",2007,139,"Romance",4584886,4.5e+07,6.4,"Average",538
"Shadow Conspiracy ","George P. Cosmatos",1997,103,"Action",2154540,4.5e+07,4.9,"Average",2457
"Johnny English Reborn ","Oliver Parker",2011,101,"Action",8129455,4.5e+07,6.3,"Average",661
"Argo ","Ben Affleck",2012,130,"Drama",136019448,44500000,7.7,"Hit",3133
"The Fugitive ","Andrew Davis",1993,130,"Action",183875760,4.4e+07,7.8,"Hit",13357
"The Bounty Hunter ","Andy Tennant",2010,110,"Action",67061228,4e+07,5.5,"Average",21554
"Sleepers ","Barry Levinson",1996,147,"Drama",53300852,4.4e+07,7.5,"Hit",37076
"Rambo: First Blood Part II ","George P. Cosmatos",1985,96,"Action",150415432,4.4e+07,6.4,"Average",15662
"The Juror ","Brian Gibson",1996,118,"Drama",44834712,4.4e+07,5.6,"Average",26907
"Pinocchio ","Norman Ferguson",1940,88,"Other",84300000,2600000,7.5,"Hit",1178
"Heaven's Gate ","Michael Cimino",1980,325,"Drama",1500000,4.4e+07,6.8,"Average",14255
"Underworld: Evolution ","Len Wiseman",2006,102,"Action",62318875,5e+07,6.8,"Average",2998
"Victor Frankenstein ","Paul McGuigan",2015,110,"Drama",5773519,4e+07,6,"Average",12876
"Finding Forrester ","Gus Van Sant",2000,136,"Drama",51768623,4.3e+07,7.3,"Hit",1801
"28 Days ","Betty Thomas",2000,103,"Comedy",37035515,4.3e+07,6,"Average",23864
"Unleashed ","Louis Leterrier",2005,103,"Action",24520892,4.5e+07,7,"Average",22383
"The Sweetest Thing ","Roger Kumble",2002,90,"Comedy",24430272,4.3e+07,5.1,"Average",132
"The Firm ","Sydney Pollack",1993,154,"Drama",158348400,4.2e+07,6.8,"Average",14244
"Charlie St. Cloud ","Burr Steers",2010,99,"Romance",31136950,4.4e+07,6.5,"Average",1066
"The Mechanic ","Simon West",2011,93,"Action",29113588,4e+07,6.6,"Average",27834
"21 Jump Street ","Phil Lord",2012,109,"Action",138447667,4.2e+07,7.2,"Hit",19968
"Notting Hill ","Roger Michell",1999,124,"Comedy",116006080,4.2e+07,7,"Average",9255
"Chicken Run ","Peter Lord",2000,84,"Comedy",106793915,4.5e+07,7,"Average",1817
"Along Came Polly ","John Hamburg",2004,90,"Comedy",87856565,4.2e+07,5.9,"Average",24534
"Boomerang ","Reginald Hudlin",1992,117,"Comedy",70100000,4e+07,5.4,"Average",3841
"The Heat ","Paul Feig",2013,123,"Action",159578352,4.3e+07,6.6,"Average",4825
"Cleopatra ","Joseph L. Mankiewicz",1963,251,"Romance",57750000,31115000,7,"Average",2957
"Here Comes the Boom ","Frank Coraci",2012,105,"Action",45290318,4.2e+07,6.5,"Average",6727
"High Crimes ","Carl Franklin",2002,115,"Drama",41543207,4.2e+07,6.3,"Average",15571
