All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Horacio DePaz,25,12,6,2,3,"$257,467 ","$10,299 ",24%,44%,2016
Rory K. Huston,52,12,5,13,8,"$256,709 ","$4,937 ",10%,50%,2016
Baltazar Galvan,91,23,16,13,9,"$256,094 ","$2,814 ",18%,42%,2016
Richard P. Sillaman,98,27,12,12,10,"$255,744 ","$2,610 ",12%,35%,2016
Assaf Ronen,36,13,4,5,5,"$255,060 ","$7,085 ",11%,39%,2016
Robert Oliva,148,23,12,27,27,"$255,051 ","$1,723 ",8%,45%,2016
Kevin Eikleberry,74,23,15,9,8,"$254,571 ","$3,440 ",20%,43%,2016
Luis Gutierrez,202,32,19,28,33,"$254,348 ","$1,259 ",9%,40%,2016
Eduardo Caramori,108,30,25,8,14,"$254,300 ","$2,355 ",23%,44%,2016
Jose Antonio Moreno,170,31,31,28,23,"$254,270 ","$1,496 ",18%,48%,2016
Oscar M. Gonzalez,94,27,12,17,11,"$254,110 ","$2,703 ",13%,43%,2016
Leonard M. Slager,210,32,21,16,24,"$253,561 ","$1,207 ",10%,29%,2016
Pablo R. Torres,263,26,19,30,40,"$252,872 ",$961 ,7%,34%,2016
William R. Helmbrecht,196,40,18,29,22,"$252,853 ","$1,290 ",9%,35%,2016
Leo O'Brien,80,17,5,3,7,"$252,537 ","$3,157 ",6%,19%,2016
M. Joanna Boggs,142,23,23,22,15,"$252,157 ","$1,776 ",16%,42%,2016
Marialice Coffey,34,8,1,4,2,"$252,030 ","$7,413 ",3%,21%,2016
Jose Garoffalo,91,20,11,16,9,"$251,390 ","$2,763 ",12%,40%,2016
Fernando Abreu,65,34,5,8,12,"$251,280 ","$3,866 ",8%,38%,2016
Silvio L. Martin,56,10,7,6,11,"$250,884 ","$4,480 ",13%,43%,2016
Nevada Litfin,114,27,15,16,15,"$249,960 ","$2,193 ",13%,40%,2016
Stephen R. Mick,95,23,12,18,12,"$249,903 ","$2,631 ",13%,44%,2016
"Victor Carrasco, Jr.",144,33,21,23,15,"$249,601 ","$1,733 ",15%,41%,2016
Nancy Betts,79,14,16,20,18,"$248,832 ","$3,150 ",20%,68%,2016
Tianna Richardville,119,17,8,13,13,"$248,585 ","$2,089 ",7%,29%,2016
Dallas J. Barton,88,19,13,11,13,"$248,543 ","$2,824 ",15%,42%,2016
Preston Adams,97,27,11,13,14,"$248,475 ","$2,562 ",11%,39%,2016
Armando De la cerda,83,33,16,13,16,"$245,689 ","$2,960 ",19%,54%,2016
Mark Doering,126,16,14,18,16,"$245,068 ","$1,945 ",11%,38%,2016
Tim G. Williams,84,19,15,10,10,"$244,401 ","$2,910 ",18%,42%,2016
Scott Hansen,47,20,5,6,8,"$244,295 ","$5,198 ",11%,40%,2016
"Tom Gardipy, Jr.",210,42,38,46,31,"$243,806 ","$1,161 ",18%,55%,2016
Lance Stokes,113,28,13,15,17,"$243,490 ","$2,155 ",12%,40%,2016
Daniel C. Peitz,59,21,5,5,7,"$243,018 ","$4,119 ",8%,29%,2016
Peter P. DeRousselle,119,31,15,15,14,"$242,890 ","$2,041 ",13%,37%,2016
"Saffie A. Joseph, Jr.",50,18,9,8,8,"$242,490 ","$4,850 ",18%,50%,2016
Bruno Tessore,38,18,7,7,5,"$241,710 ","$6,361 ",18%,50%,2016
Juan Chavez Ortega,127,27,30,24,15,"$241,440 ","$1,901 ",24%,54%,2016
Corby Caiazzo,32,13,4,4,2,"$241,315 ","$7,541 ",13%,31%,2016
John G Vinson,47,9,11,10,5,"$241,210 ","$5,132 ",23%,55%,2016
Jamey R. Thomas,121,35,13,17,25,"$241,084 ","$1,992 ",11%,45%,2016
Delmar R. Caldwell,57,21,9,5,5,"$240,440 ","$4,218 ",16%,33%,2016
Jerry Delhomme,28,8,4,5,4,"$239,655 ","$8,559 ",14%,46%,2016
Charles Essex,170,37,29,28,22,"$239,253 ","$1,407 ",17%,46%,2016
John Rigattieri,80,19,15,16,9,"$238,383 ","$2,980 ",19%,50%,2016
Ralph R. Irwin,51,16,8,4,10,"$238,354 ","$4,674 ",16%,43%,2016
Ernie Witt II,49,20,5,7,6,"$237,493 ","$4,847 ",10%,37%,2016
Larry R. Reed,159,25,22,27,16,"$236,791 ","$1,489 ",14%,41%,2016
Efrain Miranda,94,27,20,17,10,"$236,475 ","$2,516 ",21%,50%,2016
Lon Wiggins,49,20,7,9,4,"$236,360 ","$4,824 ",14%,41%,2016
Sam Di Pasquale,85,24,9,14,8,"$236,160 ","$2,778 ",11%,36%,2016
Richard R. Scherer,48,21,10,12,5,"$235,808 ","$4,913 ",21%,56%,2016
Gary G. Hartlage,52,13,6,8,5,"$235,699 ","$4,533 ",12%,37%,2016
Ardell Sayler,153,38,30,18,18,"$235,436 ","$1,539 ",20%,43%,2016
Ron David,285,34,17,28,34,"$234,866 ",$824 ,6%,28%,2016
Joseph Arboritanza,95,25,15,16,11,"$234,820 ","$2,472 ",16%,44%,2016
Sal Gonzalez,148,43,12,15,20,"$234,807 ","$1,587 ",8%,32%,2016
Roddina A. Barrett,218,42,28,27,35,"$234,346 ","$1,075 ",13%,41%,2016
Mark Cloutier,103,25,19,23,12,"$233,679 ","$2,269 ",18%,52%,2016
Steve Owens,34,10,2,1,7,"$233,659 ","$6,872 ",6%,29%,2016
David R. Bell,40,10,5,4,7,"$233,483 ","$5,837 ",13%,40%,2016
Michael Pender,86,34,6,13,6,"$233,030 ","$2,710 ",7%,29%,2016
Clay Brinson,116,37,12,18,23,"$232,959 ","$2,008 ",10%,46%,2016
Patricia G. West,99,27,14,15,3,"$232,935 ","$2,353 ",14%,32%,2016
Timothy James Kelly,83,17,6,9,8,"$232,918 ","$2,806 ",7%,28%,2016
Mike Durham,227,38,36,37,29,"$232,897 ","$1,026 ",16%,45%,2016
Karen Headley,23,8,5,0,1,"$231,485 ","$10,065 ",22%,26%,2016
William C. Hedus,62,18,7,5,4,"$231,205 ","$3,729 ",11%,26%,2016
Jerenesto Torrez,99,26,19,17,10,"$231,151 ","$2,335 ",19%,46%,2016
Michael Dini,85,23,5,14,11,"$230,140 ","$2,708 ",6%,35%,2016
Rolando J. Lima,57,9,6,6,7,"$229,570 ","$4,028 ",11%,33%,2016
Joseph P. Stehr,95,14,7,13,14,"$229,488 ","$2,416 ",7%,36%,2016
Jose A. Cabrera,184,20,16,23,15,"$229,439 ","$1,247 ",9%,29%,2016
"Sal Iorio, Jr.",124,24,13,13,20,"$229,214 ","$1,849 ",10%,37%,2016
Helen Pitts,85,26,4,7,12,"$228,944 ","$2,693 ",5%,27%,2016
Philip A. Bauer,49,16,4,9,10,"$228,792 ","$4,669 ",8%,47%,2016
Timothy M. Collins,144,31,17,20,16,"$228,438 ","$1,586 ",12%,37%,2016
Mark Fournier,67,21,8,10,11,"$228,316 ","$3,408 ",12%,43%,2016
"Odin J. Londono, Jr.",84,18,7,13,7,"$227,917 ","$2,713 ",8%,32%,2016
Jedd B. Josephson,76,31,14,13,12,"$227,866 ","$2,998 ",18%,51%,2016
Jamen Davidovich,68,16,15,10,9,"$227,652 ","$3,348 ",22%,50%,2016
Austin Gustafson,115,24,14,19,14,"$227,494 ","$1,978 ",12%,41%,2016
Raimondo Schiano-Dicola,91,19,11,14,16,"$225,942 ","$2,483 ",12%,45%,2016
Jerri R. Robertson,139,28,18,30,15,"$225,482 ","$1,622 ",13%,45%,2016
W. Phillip Gracey,38,10,6,4,5,"$225,096 ","$5,924 ",16%,39%,2016
Robert C. Cline,145,37,19,13,16,"$225,062 ","$1,552 ",13%,33%,2016
Dru S. Hall,119,30,21,23,19,"$224,927 ","$1,890 ",18%,53%,2016
Jorge Periban,68,19,9,4,7,"$224,855 ","$3,307 ",13%,29%,2016
Shawn H. Davis,78,27,15,13,16,"$224,505 ","$2,878 ",19%,56%,2016
Jerry Hammond,122,25,25,27,18,"$224,475 ","$1,840 ",20%,57%,2016
Kearney Segura,177,33,13,21,16,"$223,850 ","$1,265 ",7%,28%,2016
Joy I. Marlin,141,28,30,21,22,"$223,129 ","$1,582 ",21%,52%,2016
Gary Welsh,134,22,26,21,17,"$223,002 ","$1,664 ",19%,48%,2016
"Manuel Ortiz, Sr.",115,29,30,18,19,"$222,474 ","$1,935 ",26%,58%,2016
Patti Turner,115,23,10,14,17,"$222,438 ","$1,934 ",9%,36%,2016
John A. Hancock,107,33,9,14,13,"$221,815 ","$2,073 ",8%,34%,2016
Brent Toups,81,25,13,8,6,"$221,810 ","$2,738 ",16%,33%,2016
Timothy W. Burke,143,27,22,26,17,"$221,774 ","$1,551 ",15%,45%,2016
Murat Sancal,67,22,11,10,11,"$221,696 ","$3,309 ",16%,48%,2016
Wade Rarick,106,29,19,19,21,"$221,238 ","$2,087 ",18%,56%,2016
Randy Matthews,70,25,10,8,11,"$220,770 ","$3,154 ",14%,41%,2016
William M. Sienkewicz,88,20,14,10,21,"$220,358 ","$2,504 ",16%,51%,2016
Vernon Greaves,79,15,13,14,14,"$220,175 ","$2,787 ",16%,52%,2016
Alfonso Balderas,66,14,14,13,5,"$220,140 ","$3,335 ",21%,48%,2016
Alison Hassig,104,33,15,14,16,"$219,714 ","$2,113 ",14%,43%,2016
Glenn S. Wismer,100,17,15,14,13,"$219,515 ","$2,195 ",15%,42%,2016
Reid Nagle,84,25,19,14,9,"$219,368 ","$2,612 ",23%,50%,2016
Antonio Soto,170,27,12,25,24,"$219,208 ","$1,289 ",7%,36%,2016
J. Owen Bringhurst,45,10,8,10,7,"$219,111 ","$4,869 ",18%,56%,2016
Michael Munna,56,14,16,5,5,"$219,007 ","$3,911 ",29%,46%,2016
Allen Iwinski,41,12,9,10,7,"$218,754 ","$5,335 ",22%,63%,2016
Stephanie S. Beattie,111,23,14,18,13,"$217,655 ","$1,961 ",13%,41%,2016
Kenneth W. Marshall,95,21,21,17,13,"$217,547 ","$2,290 ",22%,54%,2016
Alejandro Gomez,119,19,13,16,21,"$217,177 ","$1,825 ",11%,42%,2016
Ellen L. Jackson,111,32,12,15,16,"$216,899 ","$1,954 ",11%,39%,2016
Kelly Maureen Myers,75,22,9,9,12,"$216,686 ","$2,889 ",12%,40%,2016
"Ramon Orozco, Jr.",222,54,33,50,25,"$216,037 ",$973 ,15%,49%,2016
Victor L. Garcia,55,22,7,8,8,"$215,960 ","$3,927 ",13%,42%,2016
Michael W. McCarthy,48,19,3,6,12,"$215,850 ","$4,497 ",6%,44%,2016
Douglas R. Barron,143,23,14,23,16,"$215,816 ","$1,509 ",10%,37%,2016
Joe O. Duhon,113,37,18,9,11,"$215,630 ","$1,908 ",16%,34%,2016
G. Ray Trisler,82,18,17,15,9,"$215,518 ","$2,628 ",21%,50%,2016
Neil D. Drysdale,48,23,3,4,7,"$215,261 ","$4,485 ",6%,29%,2016
Darien Rodriguez,54,16,15,9,9,"$215,186 ","$3,985 ",28%,61%,2016
Michael W. Dickinson,19,9,4,5,3,"$214,957 ","$11,314 ",21%,63%,2016
Patrick Huffman,42,10,7,6,4,"$214,412 ","$5,105 ",17%,40%,2016
Christopher Progno,93,17,12,12,20,"$214,395 ","$2,305 ",13%,47%,2016
Timothy P. Murphy,133,14,8,16,11,"$214,176 ","$1,610 ",6%,26%,2016
Eric L. Heitzmann,49,14,7,6,5,"$213,823 ","$4,364 ",14%,37%,2016
Armando Lage,84,28,17,15,8,"$213,807 ","$2,545 ",20%,48%,2016
Heather Hollahan,71,17,10,12,12,"$213,795 ","$3,011 ",14%,48%,2016
Neal Terracciano,46,12,3,12,5,"$213,699 ","$4,646 ",7%,43%,2016
Daniel Pita,61,20,2,5,4,"$213,690 ","$3,503 ",3%,18%,2016
Juan L. Diaz,125,23,26,25,26,"$213,683 ","$1,709 ",21%,62%,2016
Vito Armata,70,14,8,9,11,"$213,432 ","$3,049 ",11%,40%,2016
Eduardo Rodriguez,130,32,13,17,21,"$213,327 ","$1,641 ",10%,39%,2016
Emron Ibrahim,38,14,8,3,3,"$212,722 ","$5,598 ",21%,37%,2016
"John J. Tammaro, III",87,16,8,11,12,"$212,614 ","$2,444 ",9%,36%,2016
Marco A. Castaneda,128,25,17,16,17,"$211,659 ","$1,654 ",13%,39%,2016
Joan A. Reynolds,130,31,14,23,13,"$211,162 ","$1,624 ",11%,38%,2016
Manuel A. Estevez,71,15,6,7,6,"$210,997 ","$2,972 ",8%,27%,2016
Jon M. Cowan,55,17,6,5,7,"$210,908 ","$3,835 ",11%,33%,2016
Tim Burton,138,16,10,21,15,"$210,797 ","$1,528 ",7%,33%,2016
Lynn Rarick,67,21,10,10,9,"$210,664 ","$3,144 ",15%,43%,2016
Terry Knight,32,10,6,5,4,"$210,534 ","$6,579 ",19%,47%,2016
Jose L. Lopez,78,10,8,9,9,"$210,242 ","$2,695 ",10%,33%,2016
Norman Ashauer,98,13,10,15,18,"$210,148 ","$2,144 ",10%,44%,2016
Adam Rice,63,18,11,14,10,"$209,700 ","$3,329 ",17%,56%,2016
Leslie A. Condon,100,14,9,14,10,"$208,995 ","$2,090 ",9%,33%,2016
Chloe M. Bradley,7,7,2,2,1,"$208,880 ","$29,840 ",29%,71%,2016
Rohan Crichton,69,16,7,17,6,"$208,315 ","$3,019 ",10%,43%,2016
Len Kasmerski,105,20,13,11,17,"$208,235 ","$1,983 ",12%,39%,2016
Bruce Headley,37,11,5,4,4,"$207,928 ","$5,620 ",14%,35%,2016
Patrick L. Reynolds,51,19,4,12,5,"$207,521 ","$4,069 ",8%,41%,2016
Rick Hiles,56,11,9,4,7,"$207,520 ","$3,706 ",16%,36%,2016
Gerald E. Marr,135,21,13,21,18,"$207,464 ","$1,537 ",10%,39%,2016
Corale A. Richards,115,35,12,16,18,"$207,457 ","$1,804 ",10%,40%,2016
Henry Ray Dunn,136,28,7,20,15,"$207,160 ","$1,523 ",5%,31%,2016
Martin F. Jones,61,34,5,7,8,"$206,980 ","$3,393 ",8%,33%,2016
Barry R. Rose,119,13,6,15,19,"$206,730 ","$1,737 ",5%,34%,2016
Brian S. House,91,22,16,13,9,"$206,650 ","$2,271 ",18%,42%,2016
Alex Rendon,103,30,19,14,14,"$206,522 ","$2,005 ",18%,46%,2016
Donald C. MacRae,32,17,4,5,6,"$206,234 ","$6,445 ",13%,47%,2016
Robert A. Young,85,22,16,15,10,"$206,124 ","$2,425 ",19%,48%,2016
Ronald B. Abrams,69,13,5,7,15,"$205,894 ","$2,984 ",7%,39%,2016
Katharine M. Voss,25,7,7,8,3,"$205,651 ","$8,226 ",28%,72%,2016
Crystal G. Pickett,97,19,12,10,16,"$205,490 ","$2,118 ",12%,39%,2016
Maria Bowersock,80,20,11,16,11,"$205,432 ","$2,568 ",14%,48%,2016
Bruce L. Riecken,112,25,8,13,15,"$205,357 ","$1,834 ",7%,32%,2016
R. Kory Owens,76,18,13,10,10,"$205,256 ","$2,701 ",17%,43%,2016
Robert Gilker,42,9,7,13,9,"$205,219 ","$4,886 ",17%,69%,2016
Charles L. Frock,111,24,13,12,11,"$204,899 ","$1,846 ",12%,32%,2016
Gina Perri,132,33,8,12,16,"$204,696 ","$1,551 ",6%,27%,2016
Quinn Howey,115,29,20,15,19,"$204,410 ","$1,777 ",17%,47%,2016
Garry W. Simms,30,10,7,7,3,"$204,241 ","$6,808 ",23%,57%,2016
"Louie J. Roussel, III",46,22,6,10,10,"$204,142 ","$4,438 ",13%,57%,2016
Michelle Castillo,57,11,7,7,12,"$203,713 ","$3,574 ",12%,46%,2016
John O. Hertler,47,17,3,2,3,"$203,685 ","$4,334 ",6%,17%,2016
Chris M. Block,39,19,5,7,5,"$203,197 ","$5,210 ",13%,44%,2016
Jim C. Rankin,73,12,13,9,6,"$203,158 ","$2,783 ",18%,38%,2016
Twylla Bensmiller,101,23,17,24,13,"$202,230 ","$2,002 ",17%,53%,2016
Andrew L. Simoff,47,14,11,11,8,"$202,016 ","$4,298 ",23%,64%,2016
Jesus Nunez,180,45,18,29,26,"$201,995 ","$1,122 ",10%,41%,2016
Tamara L. Levy,68,26,11,5,11,"$201,465 ","$2,963 ",16%,40%,2016
Emmanuel Tzortzakis,42,9,5,7,10,"$200,941 ","$4,784 ",12%,52%,2016
Lorna M. Perkins,55,11,9,2,11,"$200,445 ","$3,644 ",16%,40%,2016
Michael Miceli,45,17,6,8,5,"$200,067 ","$4,446 ",13%,42%,2016
Grant T. Forster,45,16,6,5,6,"$200,015 ","$4,445 ",13%,38%,2016
Frank J. Kirby,111,26,14,17,12,"$199,872 ","$1,801 ",13%,39%,2016
Enrique A. Sanchez,73,22,6,11,8,"$199,243 ","$2,729 ",8%,34%,2016
Eddie M. Essenpreis,119,23,18,24,27,"$199,224 ","$1,674 ",15%,58%,2016
Candi Tollett,86,24,15,14,8,"$198,979 ","$2,314 ",17%,43%,2016
Rene Amescua,111,53,19,22,16,"$198,689 ","$1,790 ",17%,51%,2016
Holly Evans,74,18,7,10,15,"$198,437 ","$2,682 ",9%,43%,2016
Tom Rycroft,133,26,20,21,17,"$198,267 ","$1,491 ",15%,44%,2016
Michael Lenzini,92,27,12,14,17,"$197,682 ","$2,149 ",13%,47%,2016
Gary G. Jackson,101,26,10,26,9,"$197,581 ","$1,956 ",10%,45%,2016
Richard Metivier,75,20,4,3,8,"$196,546 ","$2,621 ",5%,20%,2016
Victor Hanson,89,24,5,21,10,"$196,481 ","$2,208 ",6%,40%,2016
O. J. Jauregui,99,28,13,17,12,"$195,866 ","$1,978 ",13%,42%,2016
Luis C. Rojero,163,23,14,14,20,"$195,754 ","$1,201 ",9%,29%,2016
Ronald H. Sadler,59,15,4,8,13,"$195,672 ","$3,316 ",7%,42%,2016
Michael Evans II,93,22,8,10,10,"$195,493 ","$2,102 ",9%,30%,2016
Brandon Ates,142,77,27,19,29,"$195,492 ","$1,377 ",19%,53%,2016
Michael B. Campbell,68,18,6,9,15,"$195,030 ","$2,868 ",9%,44%,2016
Mikio Matsunaga,3,1,0,0,1,"$195,000 ","$65,000 ",0%,33%,2016
Tyrone Gleason,135,36,11,18,12,"$194,924 ","$1,444 ",8%,30%,2016
Johnathan Lemons,130,37,23,19,14,"$194,342 ","$1,495 ",18%,43%,2016
Tracey J. Wisner,118,33,7,8,10,"$193,815 ","$1,643 ",6%,21%,2016
Carlo Vaccarezza,61,30,7,5,10,"$193,768 ","$3,177 ",11%,36%,2016
Jose Luna Silva,133,36,22,23,21,"$193,726 ","$1,457 ",17%,50%,2016
Cindy Krasner,64,19,13,13,6,"$193,716 ","$3,027 ",20%,50%,2016
Donald T. Blankenship,193,37,23,23,33,"$193,050 ","$1,000 ",12%,41%,2016
Ross A. Amestoy,51,13,9,11,2,"$192,812 ","$3,781 ",18%,43%,2016
Sandra A. Dono,102,19,12,7,11,"$192,691 ","$1,889 ",12%,29%,2016
Gustavo Rodriguez,17,17,3,6,2,"$192,530 ","$11,325 ",18%,65%,2016
Jason Uelmen,139,26,15,20,19,"$192,405 ","$1,384 ",11%,39%,2016
Greg C. James,93,39,10,14,10,"$192,220 ","$2,067 ",11%,37%,2016
Neil Knapp,146,28,26,27,24,"$192,158 ","$1,316 ",18%,53%,2016
Israel J. Garcia,99,25,20,17,18,"$190,754 ","$1,927 ",20%,56%,2016
Kelli Martinez,228,40,19,24,18,"$190,474 ",$835 ,8%,27%,2016
Joseph Cheeks,82,15,10,11,5,"$190,395 ","$2,322 ",12%,32%,2016
Mark Danner,26,4,4,1,4,"$190,391 ","$7,323 ",15%,35%,2016
Trace Richards,94,35,11,15,4,"$190,065 ","$2,022 ",12%,32%,2016
Glenn Delahoussaye,69,17,9,7,8,"$189,480 ","$2,746 ",13%,35%,2016
Ronnie Averett,76,27,10,6,9,"$189,235 ","$2,490 ",13%,33%,2016
Tino Attard,62,12,10,11,9,"$189,176 ","$3,051 ",16%,48%,2016
"O. A. Martinez, Jr.",126,32,18,31,19,"$189,148 ","$1,501 ",14%,54%,2016
Bart A. Barnes,179,29,17,12,16,"$189,032 ","$1,056 ",9%,25%,2016
Lisa Burry,76,12,10,3,9,"$189,004 ","$2,487 ",13%,29%,2016
Joseph Imperio,26,11,6,4,2,"$188,915 ","$7,266 ",23%,46%,2016
William A. Kaplan,36,15,3,8,7,"$188,902 ","$5,247 ",8%,50%,2016
Charles R. Harvatt,84,18,5,5,10,"$188,896 ","$2,249 ",6%,24%,2016
Michael K. Barber,113,23,16,14,15,"$188,007 ","$1,664 ",14%,40%,2016
"John P. LeBlanc, Jr.",64,17,4,9,7,"$187,627 ","$2,932 ",6%,31%,2016
Justin Johns,50,14,12,9,11,"$187,433 ","$3,749 ",24%,64%,2016
Sturges J. Ducoing,72,17,11,8,12,"$187,335 ","$2,602 ",15%,43%,2016
Patrick J. Quick,46,15,3,6,8,"$187,172 ","$4,069 ",7%,37%,2016
Katerina Vassilieva,45,11,11,5,11,"$186,516 ","$4,145 ",24%,60%,2016
Tom Dorris,112,18,17,17,24,"$186,400 ","$1,664 ",15%,52%,2016
Bernardo G. Lopez,81,26,10,14,13,"$186,330 ","$2,300 ",12%,46%,2016
Justin Jeansonne,77,25,6,13,11,"$186,165 ","$2,418 ",8%,39%,2016
Ernie J. Keller,57,10,12,8,16,"$185,907 ","$3,262 ",21%,63%,2016
"Robert E. Dobbs, Jr.",87,22,11,7,9,"$185,588 ","$2,133 ",13%,31%,2016
Leandro Moreno,250,49,18,32,34,"$184,745 ",$739 ,7%,34%,2016
Denis Cluley,62,12,14,7,10,"$184,716 ","$2,979 ",23%,50%,2016
Bill Brashears,107,24,13,13,19,"$184,663 ","$1,726 ",12%,42%,2016
Ray Spencer,91,25,9,9,8,"$184,545 ","$2,028 ",10%,29%,2016
Dylan Clarke,49,13,6,6,5,"$184,373 ","$3,763 ",12%,35%,2016
Roland L. Bruno,43,7,8,4,7,"$183,810 ","$4,275 ",19%,44%,2016
Thomas A. Clark,52,15,9,8,5,"$183,411 ","$3,527 ",17%,42%,2016
John Simms,111,20,16,17,13,"$183,329 ","$1,652 ",14%,41%,2016
Jose F. Bobadilla,123,19,12,17,18,"$182,652 ","$1,485 ",10%,38%,2016
Anthony M. Rideoutt II,100,16,15,12,12,"$182,351 ","$1,824 ",15%,39%,2016
Benard Chatters,79,21,5,9,12,"$182,270 ","$2,307 ",6%,33%,2016
Ricky Agarie,77,26,2,6,14,"$182,119 ","$2,365 ",3%,29%,2016
Brent Delahoussaye,90,24,13,9,11,"$182,005 ","$2,022 ",14%,37%,2016
Marcia Stortz,46,13,5,3,8,"$181,876 ","$3,954 ",11%,35%,2016
Edward Lehman,26,5,3,7,2,"$181,350 ","$6,975 ",12%,46%,2016
Rodney Jenkins,40,18,5,4,9,"$181,320 ","$4,533 ",13%,45%,2016
Alexis Rivera,207,29,28,34,39,"$181,279 ",$876 ,14%,49%,2016
Dallas E. Keen,64,26,12,10,11,"$180,844 ","$2,826 ",19%,52%,2016
Joseph G. Parker,63,17,5,3,4,"$180,294 ","$2,862 ",8%,19%,2016
John Tebbutt,107,20,16,16,24,"$180,096 ","$1,683 ",15%,52%,2016
Stephen S. Lyster,66,30,13,16,8,"$180,031 ","$2,728 ",20%,56%,2016
Randy Nunley,101,19,6,14,19,"$179,935 ","$1,782 ",6%,39%,2016
Miguel A. Feliciano,37,7,10,8,6,"$179,917 ","$4,863 ",27%,65%,2016
Abraham R. Katryan,61,15,8,8,4,"$179,700 ","$2,946 ",13%,33%,2016
"Lewis E. Craig, Jr.",63,12,8,11,6,"$179,533 ","$2,850 ",13%,40%,2016
Samuel F. Cronk,84,19,7,10,8,"$179,469 ","$2,137 ",8%,30%,2016
Patrick E. Swan,74,18,8,6,6,"$179,091 ","$2,420 ",11%,27%,2016
Giuseppe Iadisernia,37,21,5,6,2,"$179,080 ","$4,840 ",14%,35%,2016
Leon J. Blusiewicz,15,3,3,1,2,"$179,051 ","$11,937 ",20%,40%,2016
Larry Bates,61,26,7,10,6,"$179,045 ","$2,935 ",11%,38%,2016
Wilfredo V. Caraballo,36,8,4,8,7,"$178,358 ","$4,954 ",11%,53%,2016
Michael T. Harris,75,16,12,6,11,"$177,565 ","$2,368 ",16%,39%,2016
Anita Bolton,62,20,9,12,8,"$177,439 ","$2,862 ",15%,47%,2016
Ronda Hutchinson,61,17,6,5,6,"$177,250 ","$2,906 ",10%,28%,2016
Kathleen Parker,37,6,5,12,5,"$177,226 ","$4,790 ",14%,59%,2016
Pavel Vashchenko,83,39,14,15,15,"$176,980 ","$2,132 ",17%,53%,2016
Monte R. Thomas,85,27,13,10,10,"$176,904 ","$2,081 ",15%,39%,2016
John Charalambous,54,11,5,9,7,"$176,837 ","$3,275 ",9%,39%,2016
Leroy Hellman,137,30,17,19,16,"$176,727 ","$1,290 ",12%,38%,2016
Sylvain Pion,37,8,4,8,5,"$176,167 ","$4,761 ",11%,46%,2016
Mel Snow,68,13,11,13,12,"$175,745 ","$2,584 ",16%,53%,2016
Terrel Gore,77,14,13,11,14,"$175,577 ","$2,280 ",17%,49%,2016
Francisco D'Angelo,68,28,6,6,8,"$175,260 ","$2,577 ",9%,29%,2016
Andrew T. Ney,82,19,13,11,11,"$175,190 ","$2,136 ",16%,43%,2016
W. Robert Bailes,40,13,6,6,3,"$175,183 ","$4,380 ",15%,38%,2016
"Gerald A. Coker, Jr.",143,27,9,11,14,"$175,044 ","$1,224 ",6%,24%,2016
Ramon Moya,45,18,8,9,4,"$175,035 ","$3,890 ",18%,47%,2016
Theresa Sue Luneack,39,11,7,7,4,"$174,988 ","$4,487 ",18%,46%,2016
Robert J. Anderson,55,9,7,12,6,"$174,978 ","$3,181 ",13%,45%,2016
Otabek Umarov,17,5,2,3,1,"$174,925 ","$10,290 ",12%,35%,2016
James R. Jackson,168,34,15,23,18,"$174,638 ","$1,040 ",9%,33%,2016
Chuck Turco,93,18,6,15,16,"$174,468 ","$1,876 ",6%,40%,2016
Tanya Lindsay,119,34,22,27,20,"$174,343 ","$1,465 ",18%,58%,2016
Stephen M. Casey,27,6,1,10,6,"$174,323 ","$6,456 ",4%,63%,2016
W. R. Whitehouse,123,29,12,15,17,"$174,236 ","$1,417 ",10%,36%,2016
Gail Macari,102,19,16,12,13,"$174,151 ","$1,707 ",16%,40%,2016
Carlos Espino,1,1,1,0,0,"$174,000 ","$174,000 ",100%,100%,2016
Lloyd C. Mason,37,14,7,6,4,"$173,988 ","$4,702 ",19%,46%,2016
David Dotolo,67,10,4,4,8,"$173,456 ","$2,589 ",6%,24%,2016
Amber Meyaard,21,4,7,4,1,"$173,320 ","$8,253 ",33%,57%,2016
James E. Baker,52,19,7,4,4,"$172,961 ","$3,326 ",13%,29%,2016
Ricardo Perez,63,14,9,7,4,"$172,921 ","$2,745 ",14%,32%,2016
Joyce Salisbury,84,32,11,11,13,"$172,809 ","$2,057 ",13%,42%,2016
Thomas H. Swearingen,90,29,12,7,12,"$172,674 ","$1,919 ",13%,34%,2016
Ramon F. Martin,72,17,2,7,11,"$172,606 ","$2,397 ",3%,28%,2016
Laurie Silvera,57,11,5,9,4,"$172,504 ","$3,026 ",9%,32%,2016
"Dominic Giglio, Jr.",100,36,17,20,13,"$172,447 ","$1,724 ",17%,50%,2016
Janet Polachek,56,10,6,4,5,"$171,816 ","$3,068 ",11%,27%,2016
Steve F. Williams,128,29,6,9,15,"$171,659 ","$1,341 ",5%,23%,2016
Tammy Domenosky,91,28,11,16,16,"$171,388 ","$1,883 ",12%,47%,2016
Isai V. Gonzalez,89,26,16,16,12,"$171,342 ","$1,925 ",18%,49%,2016
Sean McCarthy,49,22,3,5,9,"$170,791 ","$3,486 ",6%,35%,2016
