All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Cory Orm,466,64,54,53,"$740,354 ","$1,589 ",14%,171,37%,2017
Alexis Valdes,408,52,63,59,"$738,213 ","$1,809 ",13%,174,43%,2017
Anna Carrow,443,29,63,55,"$732,967 ","$1,655 ",7%,147,33%,2017
Luciano Hernandez,744,76,95,94,"$730,915 ",$982 ,10%,265,36%,2017
Aaron T. Gryder,323,48,36,55,"$730,499 ","$2,262 ",15%,139,43%,2017
Ernesto Valdez-Jiminez,467,55,60,66,"$723,694 ","$1,550 ",12%,181,39%,2017
Jason R. Eads,459,58,56,63,"$714,498 ","$1,557 ",13%,177,39%,2017
Erick Garcia,318,35,28,30,"$713,705 ","$2,244 ",11%,93,29%,2017
Vinnie Bednar,412,75,74,61,"$713,225 ","$1,731 ",18%,210,51%,2017
Filemon T. Rodriguez,346,44,44,40,"$707,570 ","$2,045 ",13%,128,37%,2017
Carlos Quinones,242,23,33,28,"$706,417 ","$2,919 ",10%,84,35%,2017
Xavier Perez,289,19,27,49,"$698,526 ","$2,417 ",7%,95,33%,2017
"Euclyn E. Prentice, Jr.",589,57,65,63,"$696,071 ","$1,182 ",10%,185,31%,2017
Eswan Flores,478,54,61,52,"$692,596 ","$1,449 ",11%,167,35%,2017
Rodolfo Ignacio,452,49,65,63,"$687,476 ","$1,521 ",11%,177,39%,2017
Alfredo Contreras,572,41,60,55,"$685,310 ","$1,198 ",7%,156,27%,2017
Nathan Haar,599,85,104,85,"$679,010 ","$1,134 ",14%,274,46%,2017
Jorge M. Perez,260,31,17,36,"$673,571 ","$2,591 ",12%,84,32%,2017
Jeffrey Ian Alderson,308,20,30,34,"$673,199 ","$2,186 ",6%,84,27%,2017
Emanuel De Diego,406,54,54,74,"$671,252 ","$1,653 ",13%,182,45%,2017
Jesus Lopez Castanon,234,27,32,30,"$668,266 ","$2,856 ",12%,89,38%,2017
Angel Serpa,256,31,23,29,"$666,616 ","$2,604 ",12%,83,32%,2017
Carlos Joan Ulloa,405,45,51,57,"$665,949 ","$1,644 ",11%,153,38%,2017
Leonel Camacho-Flores,449,66,68,83,"$661,948 ","$1,474 ",15%,217,48%,2017
Didiel A. Osorio,213,28,30,32,"$661,859 ","$3,107 ",13%,90,42%,2017
Shamaree Muir,281,40,50,30,"$660,142 ","$2,349 ",14%,120,43%,2017
Ruben Fuentes,274,23,39,28,"$653,242 ","$2,384 ",8%,90,33%,2017
Alexis X. Batista,446,44,33,57,"$652,529 ","$1,463 ",10%,134,30%,2017
Chantal Sutherland,187,20,22,23,"$652,264 ","$3,488 ",11%,65,35%,2017
Wilfredo Rohena,294,49,51,48,"$651,682 ","$2,217 ",17%,148,50%,2017
Jake Barton,401,59,57,47,"$649,326 ","$1,619 ",15%,163,41%,2017
Tammi Piermarini,171,31,18,27,"$647,811 ","$3,788 ",18%,76,44%,2017
Steven Ronald Bahen,266,17,24,31,"$644,551 ","$2,423 ",6%,72,27%,2017
Nazario Alvarado,313,42,39,33,"$643,396 ","$2,056 ",13%,114,36%,2017
Larren Delorme,385,60,55,52,"$642,764 ","$1,670 ",16%,167,43%,2017
Jerome Lermyte,144,20,14,13,"$642,328 ","$4,461 ",14%,47,33%,2017
Francisco C. Torres,244,24,28,36,"$639,356 ","$2,620 ",10%,88,36%,2017
Carlos J. Delgado,436,46,53,56,"$638,907 ","$1,465 ",11%,155,36%,2017
Hugo Sanchez,223,35,33,38,"$636,333 ","$2,854 ",16%,106,48%,2017
Mike Allen,362,33,58,37,"$631,746 ","$1,745 ",9%,128,35%,2017
Carlos Carrasco,235,28,23,34,"$628,239 ","$2,673 ",12%,85,36%,2017
Luis Antonio Gonzalez,364,33,37,43,"$628,023 ","$1,725 ",9%,113,31%,2017
Alejandro Gomez,301,32,43,41,"$626,591 ","$2,082 ",11%,116,39%,2017
Navin Mangalee,252,15,31,33,"$624,123 ","$2,477 ",6%,79,31%,2017
Angel Castillo,154,21,18,20,"$623,287 ","$4,047 ",14%,59,38%,2017
David Castillo,270,17,26,30,"$621,395 ","$2,301 ",6%,73,27%,2017
Erik McNeil,386,42,49,50,"$619,861 ","$1,606 ",11%,141,37%,2017
Dane Nelson,294,53,55,50,"$615,368 ","$2,093 ",18%,158,54%,2017
Samuel E. Bermudez,449,47,54,53,"$612,411 ","$1,364 ",10%,154,34%,2017
Kevin J. Smith,512,39,43,66,"$608,571 ","$1,189 ",8%,148,29%,2017
Jan C. Batista,395,37,50,51,"$604,584 ","$1,531 ",9%,138,35%,2017
Andy Hernandez Sanchez,374,66,76,69,"$603,453 ","$1,614 ",18%,211,56%,2017
Javier Matias,265,39,47,36,"$602,945 ","$2,275 ",15%,122,46%,2017
Victor Lebron,216,32,27,36,"$602,849 ","$2,791 ",15%,95,44%,2017
Franklin Ceballos,224,31,23,25,"$599,393 ","$2,676 ",14%,79,35%,2017
Jose E. Lopez,212,34,24,30,"$598,899 ","$2,825 ",16%,88,42%,2017
Francisco Duran,289,34,39,34,"$593,624 ","$2,054 ",12%,107,37%,2017
Alfredo Sigala,507,32,45,48,"$589,961 ","$1,164 ",6%,125,25%,2017
Jose Riquelme,259,26,27,22,"$585,978 ","$2,262 ",10%,75,29%,2017
Jose Luis Zunino,395,60,67,50,"$585,516 ","$1,482 ",15%,177,45%,2017
Duane Lee Sterling,223,32,27,21,"$580,992 ","$2,605 ",14%,80,36%,2017
Carlos L. Castro,335,28,45,45,"$579,198 ","$1,729 ",8%,118,35%,2017
Rigo Sarmiento,242,46,33,29,"$575,773 ","$2,379 ",19%,108,45%,2017
Jeremias Flores,289,38,51,34,"$573,947 ","$1,986 ",13%,123,43%,2017
Abel Lezcano,280,39,42,29,"$572,571 ","$2,045 ",14%,110,39%,2017
Alex M. Cruz,643,55,53,88,"$572,171 ",$890 ,9%,196,30%,2017
Sheena Ryan,249,17,18,32,"$570,174 ","$2,290 ",7%,67,27%,2017
Freddy Jose Manrrique,480,52,59,48,"$569,957 ","$1,187 ",11%,159,33%,2017
Juan E. Sanchez,299,73,62,30,"$569,865 ","$1,906 ",24%,165,55%,2017
Dusty Ryder Shepherd,289,26,36,42,"$567,370 ","$1,963 ",9%,104,36%,2017
Ameth Gonzalez,474,36,53,55,"$566,671 ","$1,196 ",8%,144,30%,2017
Silvino Morales,244,36,40,42,"$565,704 ","$2,318 ",15%,118,48%,2017
Joel Sone,386,36,46,47,"$561,854 ","$1,456 ",9%,129,33%,2017
Ismael Eluid Mosqueira,274,22,22,32,"$558,448 ","$2,038 ",8%,76,28%,2017
Israel Ocampo,190,18,28,14,"$551,140 ","$2,901 ",9%,60,32%,2017
Guillermo Rodriguez,341,31,40,36,"$547,905 ","$1,607 ",9%,107,31%,2017
Erick Lopez,371,57,48,43,"$546,535 ","$1,473 ",15%,148,40%,2017
Chelsey Keiser,387,47,40,44,"$545,784 ","$1,410 ",12%,131,34%,2017
Jacob Radosevich,284,28,37,31,"$541,963 ","$1,908 ",10%,96,34%,2017
Gustavo Larrosa,408,35,30,41,"$541,225 ","$1,327 ",9%,106,26%,2017
Agapito Delgadillo,124,13,13,12,"$540,011 ","$4,355 ",10%,38,31%,2017
Christopher Husbands,391,51,41,55,"$539,511 ","$1,380 ",13%,147,38%,2017
Inoel Beato,214,23,22,25,"$537,892 ","$2,514 ",11%,70,33%,2017
Victor Jadhir Bailon,506,55,68,68,"$536,462 ","$1,060 ",11%,191,38%,2017
Ted D. Gondron,181,42,37,23,"$532,615 ","$2,943 ",23%,102,56%,2017
Jose Baez,352,34,36,69,"$530,796 ","$1,508 ",10%,139,39%,2017
"Miguel T. Fuentes, Jr.",220,28,30,21,"$529,805 ","$2,408 ",13%,79,36%,2017
Yuri Yaranga,391,35,34,48,"$526,193 ","$1,346 ",9%,117,30%,2017
Ashley Castrenze,179,25,26,29,"$523,965 ","$2,927 ",14%,80,45%,2017
Manoel R. Cruz,168,16,19,21,"$522,513 ","$3,110 ",10%,56,33%,2017
Ademar Santos,309,38,37,44,"$522,508 ","$1,691 ",12%,119,39%,2017
Sophie Doyle,233,18,19,23,"$518,679 ","$2,226 ",8%,60,26%,2017
Dean P. Butler,218,31,31,19,"$514,993 ","$2,362 ",14%,81,37%,2017
Wilfredo Corujo,280,25,33,26,"$512,683 ","$1,831 ",9%,84,30%,2017
Kirk Johnson,335,43,41,45,"$512,303 ","$1,529 ",13%,129,39%,2017
Jake L. Olesiak,408,71,75,69,"$508,534 ","$1,246 ",17%,215,53%,2017
Jose L. Alvarez,168,24,19,20,"$508,367 ","$3,026 ",14%,63,38%,2017
Austin B. Solis,167,19,20,22,"$507,770 ","$3,041 ",11%,61,37%,2017
Wilkin Ortiz,452,51,60,54,"$507,657 ","$1,123 ",11%,165,37%,2017
Chad Lindsay,280,32,31,39,"$506,886 ","$1,810 ",11%,102,36%,2017
Charles C. Lopez,137,14,25,16,"$503,453 ","$3,675 ",10%,55,40%,2017
Ivan Arellano,332,37,48,39,"$502,731 ","$1,514 ",11%,124,37%,2017
Antonio Ambrosio Reyes,211,27,37,34,"$497,944 ","$2,360 ",13%,98,46%,2017
Uriel A. Lopez,451,50,54,61,"$496,514 ","$1,101 ",11%,165,37%,2017
Adam Bowman,287,19,20,24,"$496,469 ","$1,730 ",7%,63,22%,2017
"Michael A. Davila, Jr.",302,33,53,47,"$489,301 ","$1,620 ",11%,133,44%,2017
Ricardo Barrios,371,62,67,52,"$487,927 ","$1,315 ",17%,181,49%,2017
Chris Fackler,425,72,80,55,"$486,116 ","$1,144 ",17%,207,49%,2017
Omar Moreno,164,19,24,13,"$484,287 ","$2,953 ",12%,56,34%,2017
Slade Callaghan,198,11,20,28,"$483,583 ","$2,442 ",6%,59,30%,2017
Heribert Naherd Martinez,155,16,25,19,"$480,579 ","$3,101 ",10%,60,39%,2017
Donnie J. Meche,297,24,33,29,"$480,478 ","$1,618 ",8%,86,29%,2017
Sunny Singh,262,32,28,25,"$477,474 ","$1,822 ",12%,85,32%,2017
Elvis Trujillo,113,15,19,17,"$476,128 ","$4,214 ",13%,51,45%,2017
Kevin Mendez,171,18,17,28,"$475,613 ","$2,781 ",11%,63,37%,2017
Francisco Amparan,245,26,29,45,"$473,916 ","$1,934 ",11%,100,41%,2017
Rey Williams,261,41,51,45,"$471,415 ","$1,806 ",16%,137,52%,2017
Erin M. Walker,316,26,27,39,"$470,097 ","$1,488 ",8%,92,29%,2017
Travis Cunningham,222,25,29,33,"$458,016 ","$2,063 ",11%,87,39%,2017
Alex Cortez,320,18,33,45,"$456,965 ","$1,428 ",6%,96,30%,2017
Sebastian Saez,190,25,25,23,"$455,511 ","$2,397 ",13%,73,38%,2017
Eddie Dominguez,382,23,31,41,"$449,944 ","$1,178 ",6%,95,25%,2017
Cristobal Herrera,251,27,33,39,"$449,244 ","$1,790 ",11%,99,39%,2017
Jose Angel Medina,326,29,41,53,"$441,442 ","$1,354 ",9%,123,38%,2017
Johan Rosado,145,22,19,8,"$440,914 ","$3,041 ",15%,49,34%,2017
Jose Arturo Gutierrez,281,24,36,50,"$438,834 ","$1,562 ",9%,110,39%,2017
Ruby Gonzalez,280,39,32,43,"$438,412 ","$1,566 ",14%,114,41%,2017
Ramon Maldonado,321,36,38,40,"$429,256 ","$1,337 ",11%,114,36%,2017
Jilver Chamafi,178,16,16,27,"$426,690 ","$2,397 ",9%,59,33%,2017
Juan M. Gutierrez,188,37,37,35,"$425,787 ","$2,265 ",20%,109,58%,2017
Chya Johnstone,239,25,25,26,"$425,627 ","$1,781 ",10%,76,32%,2017
Trevor Simpson,204,27,16,24,"$425,023 ","$2,083 ",13%,67,33%,2017
Luis H. Munar,240,24,44,37,"$421,302 ","$1,755 ",10%,105,44%,2017
Simon P. Husbands,176,13,18,13,"$418,757 ","$2,379 ",7%,44,25%,2017
Diego Sanchez,232,25,38,28,"$418,732 ","$1,805 ",11%,91,39%,2017
Mathew Carroll McGowan,255,22,15,26,"$416,615 ","$1,634 ",9%,63,25%,2017
Richard A. Bracho,203,24,22,31,"$415,611 ","$2,047 ",12%,77,38%,2017
"Pedro L. Cotto, Jr.",247,16,28,40,"$415,194 ","$1,681 ",6%,84,34%,2017
Efrain Hernandez,288,36,38,50,"$415,147 ","$1,441 ",13%,124,43%,2017
Melissa Zajac,257,58,54,32,"$414,909 ","$1,614 ",23%,144,56%,2017
Alfredo Triana Jr.,283,39,36,45,"$413,208 ","$1,460 ",14%,120,42%,2017
Jorge Guzman,107,18,17,9,"$412,840 ","$3,858 ",17%,44,41%,2017
J. M. Rohena,166,30,24,18,"$409,701 ","$2,468 ",18%,72,43%,2017
Antonio Whitehall,246,37,44,45,"$407,097 ","$1,655 ",15%,126,51%,2017
Lane J. Luzzi,224,11,33,22,"$405,566 ","$1,811 ",5%,66,29%,2017
Israel O. Rodriguez,355,51,41,52,"$405,069 ","$1,141 ",14%,144,41%,2017
Azael De Leon,368,33,29,42,"$403,698 ","$1,097 ",9%,104,28%,2017
Edgar Orozco,297,33,48,47,"$402,182 ","$1,354 ",11%,128,43%,2017
"Roberto Alvarado, Jr.",156,18,19,13,"$400,403 ","$2,567 ",12%,50,32%,2017
Eduardo O. Nunez,143,11,14,19,"$400,360 ","$2,800 ",8%,44,31%,2017
Olaf Hernandez,273,35,28,31,"$399,399 ","$1,463 ",13%,94,34%,2017
Shannon Beauregard,233,29,35,39,"$397,605 ","$1,706 ",12%,103,44%,2017
Elias Peltroche,208,33,31,39,"$396,263 ","$1,905 ",16%,103,50%,2017
"Juan F. Molina, Jr.",309,47,36,42,"$395,344 ","$1,279 ",15%,125,40%,2017
Julie Burke,246,17,32,23,"$394,769 ","$1,605 ",7%,72,29%,2017
Eddie Jurado,389,45,45,56,"$394,227 ","$1,013 ",12%,146,38%,2017
Cheyanna Patrick,162,17,21,29,"$393,843 ","$2,431 ",10%,67,41%,2017
Sasha Ortiz,285,48,60,31,"$393,756 ","$1,382 ",17%,139,49%,2017
Rogelio Miranda,209,25,31,24,"$387,421 ","$1,854 ",12%,80,38%,2017
Diego Fernando Gomez,243,15,30,36,"$386,380 ","$1,590 ",6%,81,33%,2017
David Rosario,330,45,40,70,"$385,796 ","$1,169 ",14%,155,47%,2017
Luis D. Rivera,511,49,57,68,"$385,497 ",$754 ,10%,174,34%,2017
Chris R. Rosier,262,25,31,34,"$384,035 ","$1,466 ",10%,90,34%,2017
Danny Sorenson,158,20,18,20,"$383,448 ","$2,427 ",13%,58,37%,2017
Gilberto Ramos Delgado,308,18,27,40,"$383,293 ","$1,244 ",6%,85,28%,2017
Odilon Martinez,328,21,27,35,"$383,142 ","$1,168 ",6%,83,25%,2017
Brice Blanc,63,8,8,9,"$382,990 ","$6,079 ",13%,25,40%,2017
Andre R. Ramgeet,339,31,44,44,"$380,382 ","$1,122 ",9%,119,35%,2017
Rohan R. Singh,267,48,43,44,"$379,408 ","$1,421 ",18%,135,51%,2017
Larry Munoz,255,34,37,38,"$379,031 ","$1,486 ",13%,109,43%,2017
Michael G. Ziegler,351,48,42,45,"$377,145 ","$1,074 ",14%,135,38%,2017
Nik G. Goodwin,159,18,14,17,"$375,286 ","$2,360 ",11%,49,31%,2017
Maicol J. Inirio,231,22,29,17,"$372,026 ","$1,611 ",10%,68,29%,2017
Karlo Lopez,226,32,38,30,"$370,451 ","$1,639 ",14%,100,44%,2017
Eguard A. Tejera,197,30,18,21,"$367,449 ","$1,865 ",15%,69,35%,2017
Sergio Figueroa,321,33,35,44,"$362,249 ","$1,129 ",10%,112,35%,2017
Alvaro Hernandez-Lopez,259,31,24,25,"$360,451 ","$1,392 ",12%,80,31%,2017
David D. Amiss,148,17,20,21,"$360,341 ","$2,435 ",11%,58,39%,2017
Kyle Carter,216,23,32,36,"$359,729 ","$1,665 ",11%,91,42%,2017
Tyler Woodley,206,18,22,15,"$359,550 ","$1,745 ",9%,55,27%,2017
Shannon Uske,205,14,30,21,"$359,542 ","$1,754 ",7%,65,32%,2017
Matthew Rispoli,107,19,18,16,"$358,830 ","$3,354 ",18%,53,50%,2017
Gilberto Santiago,359,43,53,43,"$357,155 ",$995 ,12%,139,39%,2017
"Samuel Camacho, Jr.",162,8,8,18,"$355,880 ","$2,197 ",5%,34,21%,2017
Adolfo A. Morales,150,38,37,18,"$353,078 ","$2,354 ",25%,93,62%,2017
Cindy Murphy,217,13,21,16,"$352,749 ","$1,626 ",6%,50,23%,2017
Wilfredo Santiago,263,18,30,32,"$351,401 ","$1,336 ",7%,80,30%,2017
Jerry Villegas,322,22,34,31,"$349,121 ","$1,084 ",7%,87,27%,2017
Quincy Welch,131,23,18,17,"$346,120 ","$2,642 ",18%,58,44%,2017
Benny C. Landeros,275,31,25,21,"$345,603 ","$1,257 ",11%,77,28%,2017
Sahin Civaci,179,20,32,24,"$344,644 ","$1,925 ",11%,76,42%,2017
Arienne Cox,183,13,24,24,"$343,471 ","$1,877 ",7%,61,33%,2017
Luis A. Castillo,176,14,21,27,"$336,465 ","$1,912 ",8%,62,35%,2017
Marco A. Ccamaque,424,16,33,39,"$332,884 ",$785 ,4%,88,21%,2017
Jermaine V. Bridgmohan,148,14,9,22,"$327,760 ","$2,215 ",9%,45,30%,2017
Gerber Pivaral,229,22,26,33,"$324,956 ","$1,419 ",10%,81,35%,2017
Hugo Herrera,247,27,28,35,"$323,213 ","$1,309 ",11%,90,36%,2017
Ricardo Martinez,351,57,43,56,"$322,472 ",$919 ,16%,156,44%,2017
Romario Saunders,205,23,19,27,"$320,621 ","$1,564 ",11%,69,34%,2017
Carlos L. Marquez,172,17,19,22,"$319,205 ","$1,856 ",10%,58,34%,2017
Rico Flores,264,21,25,32,"$312,897 ","$1,185 ",8%,78,30%,2017
Rodrigo Vergara,277,21,17,25,"$309,833 ","$1,119 ",8%,63,23%,2017
Kevin Gonzalez,375,24,31,43,"$308,714 ",$823 ,6%,98,26%,2017
Keiber J. Coa,215,13,24,33,"$308,390 ","$1,434 ",6%,70,33%,2017
Julio A. Garcia,40,17,7,4,"$307,957 ","$7,699 ",43%,28,70%,2017
"Rafael Mojica, Jr.",236,13,20,35,"$304,975 ","$1,292 ",6%,68,29%,2017
Renaldo Cumberbatch,226,36,32,32,"$302,090 ","$1,337 ",16%,100,44%,2017
Josue Arce,58,15,6,6,"$302,024 ","$5,207 ",26%,27,47%,2017
Casey R. Chavez,287,14,29,38,"$297,328 ","$1,036 ",5%,81,28%,2017
Helen Marie Vanek,156,28,25,22,"$294,300 ","$1,887 ",18%,75,48%,2017
Alex Gonzalez,378,32,32,52,"$293,931 ",$778 ,8%,116,31%,2017
Justin Shepherd,192,10,18,22,"$288,702 ","$1,504 ",5%,50,26%,2017
Joe A. Crispin,248,24,35,35,"$286,690 ","$1,156 ",10%,94,38%,2017
Laura Werner,131,12,15,11,"$285,145 ","$2,177 ",9%,38,29%,2017
Lauralea Glaser,130,12,16,12,"$284,651 ","$2,190 ",9%,40,31%,2017
David A. Martin,313,29,26,40,"$283,058 ",$904 ,9%,95,30%,2017
Angel Moreno,81,13,11,5,"$282,151 ","$3,483 ",16%,29,36%,2017
Rolando Aragon,173,10,16,18,"$280,611 ","$1,622 ",6%,44,25%,2017
Augusto A. Marin,115,14,16,19,"$278,499 ","$2,422 ",12%,49,43%,2017
Christopher O. Torres,401,34,50,64,"$278,046 ",$693 ,8%,148,37%,2017
Brian L. Hollingsworth,319,14,24,32,"$277,179 ",$869 ,4%,70,22%,2017
Juan Ochoa,96,11,9,6,"$277,105 ","$2,887 ",11%,26,27%,2017
Jeffrey Skerrett,181,16,19,25,"$276,827 ","$1,529 ",9%,60,33%,2017
Jeff Smith,276,22,30,28,"$276,747 ","$1,003 ",8%,80,29%,2017
Tyrone Nelson,182,29,29,26,"$275,393 ","$1,513 ",16%,84,46%,2017
Clinton L. Potts,127,15,13,23,"$275,042 ","$2,166 ",12%,51,40%,2017
"Javier M. Felix, Jr.",119,11,8,11,"$274,256 ","$2,305 ",9%,30,25%,2017
Angel Ortega Stanley,215,31,38,32,"$270,514 ","$1,258 ",14%,101,47%,2017
Eliska Kubinova,248,29,37,34,"$270,269 ","$1,090 ",12%,100,40%,2017
Luis Hiraldo,221,33,42,39,"$270,161 ","$1,222 ",15%,114,52%,2017
Carlos Olivero,111,11,13,15,"$269,263 ","$2,426 ",10%,39,35%,2017
Winston R. Kay,203,10,15,21,"$268,579 ","$1,323 ",5%,46,23%,2017
Chad K. Murphy,293,30,28,40,"$266,707 ",$910 ,10%,98,33%,2017
Enrique Garcia,228,18,26,38,"$266,043 ","$1,167 ",8%,82,36%,2017
Raul Mena,213,10,25,21,"$265,857 ","$1,248 ",5%,56,26%,2017
Juan A. Larrosa,143,18,12,24,"$265,815 ","$1,859 ",13%,54,38%,2017
J. C. Villanueva,207,21,22,22,"$262,992 ","$1,270 ",10%,65,31%,2017
Jose Antonio Rodriguez,227,20,30,33,"$261,440 ","$1,152 ",9%,83,37%,2017
Felix E. Pinero,168,7,13,19,"$260,968 ","$1,553 ",4%,39,23%,2017
Aldo Arboleda,136,14,15,8,"$260,586 ","$1,916 ",10%,37,27%,2017
Anthony Y. Nunez,252,16,23,35,"$259,390 ","$1,029 ",6%,74,29%,2017
Joel Dominguez,227,27,27,26,"$258,510 ","$1,139 ",12%,80,35%,2017
Ronald Hisby,239,13,13,23,"$258,173 ","$1,080 ",5%,49,21%,2017
Michelle Rainford,74,9,12,9,"$258,061 ","$3,487 ",12%,30,41%,2017
"Pedro Monterrey, Jr.",133,8,24,20,"$254,885 ","$1,916 ",6%,52,39%,2017
Juan J. L. Velez,253,11,15,21,"$253,270 ","$1,001 ",4%,47,19%,2017
Robert Burney,390,48,48,54,"$252,143 ",$647 ,12%,150,38%,2017
Jairo Rodriguez,260,14,31,27,"$249,805 ",$961 ,5%,72,28%,2017
Jake Samuels,277,52,36,48,"$247,540 ",$894 ,19%,136,49%,2017
Ramsey Zimmerman,104,7,8,13,"$246,440 ","$2,370 ",7%,28,27%,2017
Larry Mejias,85,11,5,13,"$246,221 ","$2,897 ",13%,29,34%,2017
Javier Diego,241,19,24,28,"$245,474 ","$1,019 ",8%,71,29%,2017
Adrian B. Ramos,206,24,22,35,"$244,869 ","$1,189 ",12%,81,39%,2017
Rafael Zenteno Jr.,146,11,10,19,"$244,818 ","$1,677 ",8%,40,27%,2017
Edilberto Rodriguez,196,11,12,23,"$242,823 ","$1,239 ",6%,46,23%,2017
Luis H. Rodriguez,277,21,30,25,"$241,332 ",$871 ,8%,76,27%,2017
Yamil Rosario,181,10,17,26,"$241,331 ","$1,333 ",6%,53,29%,2017
Carson Sullivan,176,20,23,18,"$240,415 ","$1,366 ",11%,61,35%,2017
Efigenio Garcia Ruiz,222,19,19,29,"$240,299 ","$1,082 ",9%,67,30%,2017
Jose Barnes,98,14,10,7,"$237,673 ","$2,425 ",14%,31,32%,2017
Felipe F. Martinez,161,17,21,22,"$237,090 ","$1,473 ",11%,60,37%,2017
Jennifer Whitaker,127,14,23,15,"$236,337 ","$1,861 ",11%,52,41%,2017
Ramon Guce,167,25,26,26,"$234,765 ","$1,406 ",15%,77,46%,2017
Francisco Garcia,173,9,15,26,"$234,080 ","$1,353 ",5%,50,29%,2017
Odhair J. Mayta,173,22,18,17,"$231,920 ","$1,341 ",13%,57,33%,2017
Edgar Morales,125,8,13,12,"$230,352 ","$1,843 ",6%,33,26%,2017
Skyler White Shield,196,16,13,24,"$230,220 ","$1,175 ",8%,53,27%,2017
Juan Crawford,204,6,19,23,"$229,856 ","$1,127 ",3%,48,24%,2017
Prayven Badrie,190,29,29,31,"$228,892 ","$1,205 ",15%,89,47%,2017
Jose R. Betancourt,92,12,11,8,"$225,630 ","$2,453 ",13%,31,34%,2017
Kris Fox,227,11,21,16,"$225,297 ",$992 ,5%,48,21%,2017
Kayla Pizarro,194,31,26,41,"$225,092 ","$1,160 ",16%,98,51%,2017
Christian J. Navarro,231,25,46,32,"$224,381 ",$971 ,11%,103,45%,2017
Ignacio Puglisi,91,5,12,13,"$216,834 ","$2,383 ",5%,30,33%,2017
David Delgado,181,11,20,25,"$212,702 ","$1,175 ",6%,56,31%,2017
Ricardo Mejias,161,18,14,20,"$210,896 ","$1,310 ",11%,52,32%,2017
John W. Lloyd,108,12,13,14,"$209,189 ","$1,937 ",11%,39,36%,2017
Taylor M. Hole,62,2,12,10,"$208,838 ","$3,368 ",3%,24,39%,2017
Joe M. Johnson,71,4,8,9,"$208,400 ","$2,935 ",6%,21,30%,2017
Kassie Guglielmino,288,41,65,39,"$208,151 ",$723 ,14%,145,50%,2017
Juan J. Esquilin,257,29,33,35,"$208,082 ",$810 ,11%,97,38%,2017
Skye Chernetz,104,6,9,10,"$207,379 ","$1,994 ",6%,25,24%,2017
Renzo Diaz,233,12,16,15,"$206,020 ",$884 ,5%,43,18%,2017
Christian M. Aragon,140,22,15,29,"$205,943 ","$1,471 ",16%,66,47%,2017
Anne Sanguinetti,74,7,8,17,"$205,895 ","$2,782 ",9%,32,43%,2017
Francisco Giles,244,20,31,27,"$205,534 ",$842 ,8%,78,32%,2017
Ridge Balgobin,198,20,31,25,"$205,492 ","$1,038 ",10%,76,38%,2017
David Cardoso,128,19,14,20,"$204,168 ","$1,595 ",15%,53,41%,2017
Efren Prado,276,38,29,22,"$202,917 ",$735 ,14%,89,32%,2017
Christopher Griffith,117,20,19,21,"$202,786 ","$1,733 ",17%,60,51%,2017
Carlos Lozada,145,14,11,20,"$201,695 ","$1,391 ",10%,45,31%,2017
Pablo Fragoso,70,4,6,10,"$200,705 ","$2,867 ",6%,20,29%,2017
Belen Quinonez,57,4,6,2,"$200,542 ","$3,518 ",7%,12,21%,2017
Paul M. Nolan,113,11,18,17,"$200,178 ","$1,771 ",10%,46,41%,2017
Kaylia Albright,119,13,11,9,"$199,408 ","$1,676 ",11%,33,28%,2017
Pedro Guzman,129,11,12,24,"$198,249 ","$1,537 ",9%,47,36%,2017
Benjamin Lopez,239,25,37,37,"$197,384 ",$826 ,10%,99,41%,2017
Cesar A. Ordaz,244,12,26,26,"$194,225 ",$796 ,5%,64,26%,2017
Dyn Panell,58,10,7,5,"$194,136 ","$3,347 ",17%,22,38%,2017
Jose M. Davila,259,22,33,37,"$193,487 ",$747 ,8%,92,36%,2017
Brandon A. Duchaine,151,19,20,21,"$193,294 ","$1,280 ",13%,60,40%,2017
Francisco Escalera Perez,198,21,16,20,"$189,195 ",$956 ,11%,57,29%,2017
Erick Cruz,288,10,22,20,"$186,951 ",$649 ,3%,52,18%,2017
Alvaro Donis,124,11,8,12,"$186,875 ","$1,507 ",9%,31,25%,2017
Alberto Pusac,217,12,27,20,"$185,657 ",$856 ,6%,59,27%,2017
Wayne A. Barnett,217,21,32,37,"$185,239 ",$854 ,10%,90,41%,2017
Nathan Vickers,116,12,12,17,"$184,775 ","$1,593 ",10%,41,35%,2017
Ronald Richard,205,22,25,26,"$183,794 ",$897 ,11%,73,36%,2017
Edgar Velasco,169,16,15,24,"$183,504 ","$1,086 ",9%,55,33%,2017
Ricardo Jaime,125,11,11,7,"$182,829 ","$1,463 ",9%,29,23%,2017
Chavion Chow,185,23,18,23,"$182,264 ",$985 ,12%,64,35%,2017
Eddie Zuniga,248,15,21,19,"$181,991 ",$734 ,6%,55,22%,2017
"Fabio A. Arguello, Jr.",113,7,11,14,"$181,534 ","$1,606 ",6%,32,28%,2017
Patrick Canchari,180,14,10,22,"$178,231 ",$990 ,8%,46,26%,2017
MarkLee Z. Buchanan,90,12,6,9,"$177,477 ","$1,972 ",13%,27,30%,2017
