,,,,,,
,,,,,,
State,County,Size of Land,Sale Price,Price per Acre (approx),Land Details,Date
Kansas,Gove,"2,720 acres","$4,625,920 ","$1,700.00 ","1,865 cropland acres, 782 grassland and road acres and 72 CRP acres",Winter 2016
Nebraska,Platte,199 acres,"$2,277,036 ","$11,400.00 ","Includes a 2,400-square-foot home, machine shed, storage shed and two grain bins",Winter 2016
Oklahoma,Major,77 acres,"$143,500 ","$1,866.00 ",73 tillable acres,Winter 2016
Oklahoma,Major,40 acres,"$250,000 ","$6,250.00 ",40 acres of recreational land with a home,Winter 2016
Arkansas,Chicot,"1,550 acres","$5,358,750 ","$3,457.00 ","1,430 cropland acres and 2 miles of river frontage",February 2016
Colorado,Yuma,320 acres,"$350,080 ","$1,094.00 ",100% CRP ground,February 2016
Indiana,Benton,150 acres,"$1,335,000 ","$8,900.00 ",141 tillable acres with a 9-acre farmstead,February 2016
Iowa,Webster,75 acres,"$715,000 ","$9,553.00 ",73 tillable acres,February 2016
Kansas,Gove and Logan,640 acres,"$1,053,840 ","$1,646.00 ",319 CRP acres and 320 grassland acres,February 2016
Kentucky,Breckinridge,494 acres,"$1,625,800 ","$3,291.00 ",65 cropland acres with the balance in hardwoods,February 2016
Kentucky,Spencer,132 acres,"$523,843 ","$3,956.00 ",75 tillable acres,February 2016
Nebraska,Butler,159 acres,"$1,575,000 ","$9,905.00 ","Includes an irrigation well with electric pump and 30,000 bushels of grain storage",February 2016
Ohio,"Athens, Gallia, Meigs and Muskingum","2,475 acres","$4,120,000 ","$1,664.00 ",Sold in sixty-six tracts,February 2016
Alabama,Madison,344 acres,"$1,032,000 ","$3,000.00 ","227 cropland acres, 55 hay acres and 62 wooded acres",March 2016
Georgia,Webster,141 acres,"$650,400 ","$4,600.00 ",135 acres under center-pivot irrigation,March 2016
Indiana,Elkhart,209 acres,"$2,950,000 ","$14,108.00 ","205 tillable acres and 70,000 bushels of grain storage",March 2016
Iowa,Humboldt,157 acres,"$1,303,100 ","$8,300.00 ",153 tillable acres,March 2016
Kansas,Norton,320 acres,"$720,000 ","$2,250.00 ",217 cropland acres with the balance in grass and roadways,March 2016
Kentucky,Ohio,98 acres,"$597,800 ","$6,100.00 ",87 tillable acres with a two-story brick home,March 2016
Kentucky,Breckinridge and Hardin,652 acres,"$2,351,232 ","$3,606.00 ",230 cropland acres and 400 acres of pastureland,March 2016
Missouri,Audrain,80 acres,"$424,000 ","$5,300.00 ",72 tillable acres,March 2016
Nebraska,Saunders,123 acres,"$493,500 ","$3,998.00 ",123 tillable acres,March 2016
Oklahoma,Blaine,60 acres,"$120,000 ","$2,000.00 ",60 tillable acres,March 2016
Arkansas,Monroe,594 acres,"$2,508,805 ","$4,225.00 ","Includes 60,000 bushels of grain storage and seven irrigation wells",April 2016
Illinois,Champaign,556 acres,"$5,980,000 ","$10,775.00 ",553 cropland acres and 25 CRP acres,April 2016
Iowa,Webster,680 acres,"$6,413,625 ","$9,432.00 ",662 tillable acres with the balance in county roadways,April 2016
Missouri,Platte,730 acres,"$3,702,000 ","$5,071.00 ",670 tillable acres,April 2016
Georgia,Seminole,83 acres,"$425,119 ","$5,136.00 ","71 acres under a center pivot, 9 dryland acres and a 2-acre pond",May 2016
North Dakota,McLean,905 acres,"$1,754,998 ","$1,938.00 ",785 cropland acres and 46 pasture acres,May 2016
Ohio,Hancock,275 acres,"$1,754,026 ","$6,378.00 ",267 tillable acres,May 2016
Oklahoma,Garfield,320 acres,"$561,000 ","$1,753.00 ",275 tillable acres,May 2016
Tennessee,Stewart,86 acres,"$650,000 ","$7,558.00 ",73 tillable acres with river frontage,May 2016
Arkansas,Lonoke,582 acres,"$2,999,436 ","$5,155.00 ","Includes a 20-acre reservoir, five wells with power units and 3,000 feet of underground pipe",June 2016
Colorado,Cheyenne,"2,240 acres","$1,400,000 ",$625.00 ,"2,240 acres of expired CRP ground",June 2016
Colorado,Prowers,"1,250 acres","$852,287 ",$681.00 ,100% CRP ground,June 2016
Illinois,Hamilton,"1,560 acres","$3,095,040 ","$1,984.00 ",Sold in thirteen tracts,June 2016
Indiana,Allen,188 acres,"$1,500,000 ","$7,979.00 ",184 tillable acres,June 2016
Iowa,Webster,160 acres,"$1,488,000 ","$9,300.00 ",156 tillable acres and 73 acres in CRP ground,June 2016
Kansas,Norton,150 acres,"$506,250 ","$3,375.00 ",120 cropland acres and 30 grassland acres,June 2016
Kansas,Gove,293 acres,"$629,364 ","$2,148.00 ",221 tillable acres and 72 grassland acres,June 2016
Kansas,Reno,160 acres,"$710,400 ","$4,440.00 ",160 irrigated cropland acres,June 2016
Missouri,Daviess,640 acres,"$2,833,300 ","$4,427.00 ",463 tillable acres,June 2016
Missouri,Monroe,40 acres,"$140,000 ","$3,500.00 ",35 tillable acres,June 2016
Arkansas,Arkansas,239 acres,"$1,050,166 ","$4,383.00 ","206 tillable acres with one well and 1,000 feet of underground pipe",July 2016
Arkansas,Lee,"1,759 acres","$8,032,822 ","$4,566.00 ","Includes 20 wells and 300,000 bushels of grain storage",July 2016
Colorado,Kit Carson,953 acres,"$2,358,180 ","$2,474.00 ","346 irrigated crop acres, 165 dryland crop acres and 442 grassland acres",July 2016
Colorado,Kit Carson,640 acres,"$707,300 ","$1,105.00 ",640 acres of dryland tillable acres,July 2016
Georgia,Webster,141 acres,"$650,400 ","$4,600.00 ",135 tillable acres under center-pivot irrigation,July 2016
Indiana,Cass and Carroll,716 acres,"$8,282,000 ","$11,567.00 ",716 tillable acres,July 2016
Indiana,Cass,120 acres,"$1,340,000 ","$11,167.00 ",116 tillable acres,July 2016
Kentucky,Daviess,114 acres,"$1,279,466 ","$11,200.00 ",114 cropland acres,July 2016
Kansas,Ellis and Russell,"4,320 acres","$4,764,480 ","$1,102.00 ","1,065 cropland acres, 3,057 pasture and road acres and 197 CRP acres",July 2016
Nebraska,Polk,160 acres,"$1,840,000 ","$11,500.00 ",160 irrigated cropland acres,July 2016
Wisconsin,Walworth,279 acres,"$2,000,081 ","$7,159.00 ",260 tillable acres,July 2016
Arkansas,Arkansas,582 acres,"$2,267,900 ","$3,896.00 ",516 cropland acres with 3 irrigation wells and 1 irrigation refill station,August 2016
Colorado,Kit Carson,140 acres,"$297,436 ","$2,120.00 ",140 dryland crop acres,August 2016
Colorado,Kit Carson,160 acres,"$360,000 ","$2,250.00 ",160 dryland crop acres,August 2016
Illinois,DeKalb,217 acres,"$2,109,750 ","$9,700.00 ",211 tillable acres,August 2016
Indiana,LaPorte,168 acres,"$1,874,989 ","$11,115.00 ",146 tillable acres and 20 wooded acres,August 2016
Indiana,Tippecanoe,69 acres,"$565,800 ","$8,200.00 ",69 tillable acres,August 2016
Iowa,Franklin,331 acres,"$3,200,000 ","$9,668.00 ",325 tillable acres,August 2016
Louisiana,Catahoula Parish,"7,400 acres","$31,800,000 ","$4,297.00 ","6,900 cropland acres precision-leveled and irrigated",August 2016
Nebraska,Dawson,154 acres,"$1,000,000 ","$6,493.00 ",154 tillable and gravity-irrigated acres,August 2016
Ohio,Licking,214 acres,"$1,000,000 ","$4,673.00 ",192 tillable acres and 21 wooded acres,August 2016
Oklahoma,Kingfisher,425 acres,"$1,633,000 ","$3,843.00 ",298 cropland acres and 30 acres of pasture with the remainder in timber,August 2016
Arkansas,Woodruff,520 acres,"$1,744,600 ","$3,355.00 ",450 tillable acres with six wells,September 2016
Colorado,Kit Carson,143 acres,"$352,638 ","$2,466.00 ",143 acres of cropland and native grassland,September 2016
Georgia,Mitchell,"3,593 acres","$24,513,979 ","$6,823.00 ","2,124 tillable irrigated acres with the balance in timber",September 2016
Georgia,Seminole,297 acres,"$1,595,746 ","$5,369.00 ",296 tillable acres,September 2016
Illinois,LaSalle,153 acres,"$1,573,219 ","$10,255.00 ",147 tillable acres,September 2016
Illinois,Ogle,160 acres,"$1,440,000 ","$9,000.00 ",159 tillable acres,September 2016
Iowa,Hancock,120 acres,"$1,080,000 ","$9,000.00 ",115 tillable acres,September 2016
Kansas,Washington,280 acres,"$1,155,000 ","$4,125.00 ",264 tillable acres with an irrigation well and two ponds,September 2016
Louisiana,West Carroll Parish,480 acres,"$2,100,000 ","$4,375.00 ",455 cropland acres,September 2016
Nebraska,Dawson,154 acres,"$1,000,000 ","$6,493.00 ",152 cropland acres and 149 acres of surface water rights,September 2016
Oklahoma,Grant,120 acres,"$212,000 ","$1,766.00 ",120 cropland acres,September 2016
Alabama,Monroe,400 acres,"$850,000 ","$2,125.00 ",200 tillable acres and 200 acres in timber,October 2016
Colorado,Kit Carson,"1,268 acres","$1,760,000 ","$1,388.00 ",Includes three irrigation wells,October 2016
Illinois,DeKalb,75 acres,"$789,464 ","$10,400.00 ",75 tillable acres,October 2016
Illinois,Platt,236 acres,"$2,623,152 ","$11,100.00 ",228 tillable acres,October 2016
Iowa,Wright,646 acres,"$6,160,000 ","$9,525.00 ","630 tillable acres with two 1,100-square-foot ranch homes",October 2016
Kansas,Marshall,320 acres,"$2,040,000 ","$6,375.00 ",320 cropland acres,October 2016
Kansas,Washington,152 acres,"$690,466 ","$4,545.00 ",149 tillable acres,October 2016
Nebraska,Dawson,200 acres,"$920,000 ","$4,600.00 ",184 acres of surface water rights,October 2016
Nebraska,Thayer,155 acres,"$465,000 ","$3,000.00 ",111 dryland copland acres,October 2016
Oklahoma,Woods,80 acres,"$105,000 ","$1,312.00 ","Includes grassland, timber and a spring-fed creek",October 2016
Virginia,Madison,194 acres,"$1,950,000 ","$10,052.00 ","25 tillable acres, 109 pasture acres and 50 wooded acres",October 2016
Arizona,Pinal,160 acres,"$1,100,000 ","$6,875.00 ",160 irrigated acres,November 2016
Delaware,Kent,333 acres,"$3,826,250 ","$11,490.00 ","316 tillable acres with an 8,800-square-foot labor housing facility",November 2016
Illinois,Bureau,40 acres,"$432,000 ","$10,800.00 ",40 tillable acres,November 2016
Illinois,Livingston,97.44 acres,"$852,600 ","$8,750.00 ",92 tillable acres,November 2016
Indiana,Warrick and Spencer,"1,182 acres","$3,362,507 ","$2,845.00 ","576 tillable acres, 506 wooded acres and 2 acres of river frontage",November 2016
Kansas,Marshall,683 acres,"$2,089,937 ","$3,059.00 ",95 cropland acres with the balance in pasture and recreational ground,November 2016
Kansas,Rawlins and Sherman,736 acres,"$1,464,363 ","$1,989.00 ",729 tillable acres,November 2016
Kentucky,Henderson and Daviess,957 acres,"$4,807,274 ","$5,023.00 ",675 cropland acres with the balance in recreational and timber acres,November 2016
Maryland,Wicomico,45 acres,"$219,000 ","$4,866.00 ",35 tillable acres and 8 wooded acres,November 2016
Oklahoma,Haskell,357 acres,"$199,412 ",$558.00 ,Includes a pond and wooded land,November 2016
Oklahoma,Osage,"43,000 acres","$74,000,000 ","$1,720.00 ","43,000 acres of tallgrass prairie and cross timbers",November 2016
Illinois,DeKalb,217 acres,"$2,109,750 ","$9,700.00 ",211 tillable acres and 17 acres in CRP ground,December 2016
Illinois,Ogle,160 acres,"$1,440,000 ","$9,000.00 ",159 tillable acres,December 2016
Indiana,Benton,80 acres,"$712,000 ","$8,900.00 ",80 tillable acres,December 2016
Iowa,Calhoun,179 acres,"$1,342,500 ","$7,500.00 ",170 tillable acres and an 8-acre plot of CRP ground,December 2016
Kansas,Logan and Thomas,802 acres,"$972,000 ","$1,212.00 ",536 cropland acres and 265 grassland acres,December 2016
Kentucky,Daviess,119 acres,"$539,942 ","$4,500.00 ",103 tillable acres with the balance in wooded creek bottoms and banks,December 2016
Kentucky,Hopkins,255 acres,"$1,432,752 ","$5,600.00 ",Includes a machinery shed and an old barn,December 2016
Missouri,Cedar,80 acres,"$200,000 ","$2,500.00 ",80 acres of pasture,December 2016
Oklahoma,Caddo,160 acres,"$303,000 ","$1,893.00 ","157 cropland acres with a water well, corral and perimeter fencing",December 2016
Oklahoma,Garfield,320 acres,"$660,000 ","$2,062.00 ",309 farmland acres,December 2016
Indiana,Kosciusko,329 acres,"$3,200,000 ","$9,727.00 ",318 tillable acres,Winter 2017
Iowa,Wright,131 acres,"$940,000 ","$7,175.00 ",127 tillable acres,Winter 2017
Louisiana,West Carroll Parish,647 acres,"$2,633,700 ","$4,070.00 ",615 tillable acres with seven irrigation wells with underground piping,Winter 2017
Mississippi,Holmes,"1,030 acres","$5,452,500 ","$5,294.00 ","1,028 tillable acres with four center pivots and five wells",Winter 2017
North Carolina,Perquimans,78 acres,"$300,000 ","$3,846.00 ",75 tillable acres,Winter 2017
Ohio,Auglaize,436 acres,"$3,835,000 ","$8,795.00 ",363 tillable acres and 11 acres of wooded ground,Winter 2017
Arkansas,Woodruff,786 acres,"$2,898,768 ","$3,688.00 ",723 tillable acres and six irrigation wells,February 2017
Illinois,Fulton and Mercer,"8,638 acres","$55,311,000 ","$6,403.00 ","8,253 tillable acres and 887,000 bushels of grain storage",February 2017
Illinois,Saline,610 acres,"$1,784,300 ","$2,925.00 ",347 tillable acres with the remainder in woods and sloughs,February 2017
Indiana,Johnson,83 acres,"$845,000 ","$10,180.00 ",53 tillable acres and 29 wooded acres,February 2017
Kansas,Hamilton and Kearney,"3,000 acres","$1,023,250 ",$341.00 ,"2,983 grassland acres",February 2017
Kansas,Washington,83 acres,"$300,000 ","$3,576.00 ",59 tillable acres and 24 acres of pasture,February 2017
Kentucky,McLean,115 acres,"$1,100,000 ","$9,565.00 ",113 tillable acres,February 2017
Maryland,Dorchester,378 acres,"$550,000 ","$1,455.00 ",378 acres of hardwood timber,February 2017
Missouri,Cedar,150 acres,"$370,000 ","$2,467.00 ",150 acres of pasture with a home and a Quonset building,February 2017
Oklahoma,Garfield,320 acres,"$537,500 ","$1,679.00 ",165 tillable acres and 8 wooded acres,February 2017
Oklahoma,Osage,314 acres,"$644,700 ","$2,053.00 ",314 of grassland and timber,February 2017
Arkansas,Drew,"1,140 acres","$4,092,743 ","$3,590.00 ","1,070 cropland acres irrigated by five wells",March 2017
Illinois,Clark and Edgar,307 acres,"$2,168,812 ","$7,053.00 ",262 tillable acres,March 2017
Illinois,Kendall,"1,063 acres","$9,547,866 ","$8,982.00 ",981 tillable acres and 752 acres of residential land,March 2017
Indiana,Rush,135 acres,"$1,475,000 ","$10,868.00 ",134 tillable acres,March 2017
Indiana,Ripley,755 acres,"$4,585,000 ","$6,072.00 ","659 tillable acres, 30 acres of pasture and 29 acres of woods",March 2017
Kentucky,Webster,326 acres,"$1,343,580 ","$4,121.00 ","167 tillable acres, 97 wooded acres and 44 acres of pasture",March 2017
Maryland,Caroline,151 acres,"$1,050,000 ","$6,953.00 ",141 tillable acres,March 2017
Mississippi,Washington,811 acres,"$4,505,382 ","$5,555.00 ",786 tillable acres with six wells,March 2017
Missouri,Daviess,715 acres,"$3,425,000 ","$4,790.00 ",559 tillable acres with the remainder in timber,March 2017
Oklahoma,Rogers,445 acres,"$2,462,725 ","$5,534.00 ",445 grassland acres with one home,March 2017
Florida,Hamilton,338 acres,"$1,000,000 ","$2,958.00 ",Includes crop and timber acreage,April 2017
Georgia,Miller,280 acres,"$1,266,251 ","$4,523.00 ","200 cropland acres, 17 acres in pine trees and 23 acres of pasture",April 2017
Illinois,Douglas,195 acres,"$1,969,000 ","$10,097.00 ",194 tillable acres,April 2017
Illinois,Montgomery,161 acres,"$1,368,500 ","$8,500.00 ",156 tillable acres,April 2017
Indiana,LaPorte,303 acres,"$2,554,000 ","$8,429.00 ",256 tillable acres and 36 acres of forest,April 2017
Mississippi,Quitman,540 acres,"$2,376,000 ","$4,400.00 ","518 tillable acres with three wells and 9,000 feet of underground piping",April 2017
Nebraska,Kearney,160 acres,"$560,000 ","$3,500.00 ",130 tillable acres,April 2017
Nebraska,Washington,299 acres,"$2,089,035 ","$6,967.00 ",289 tillable acres,April 2017
Oklahoma,Caddo,100 acres,"$241,000 ","$2,410.00 ",13 tillable acres with the balance in native grass and a canyon,April 2017
Oklahoma,Payne,"1,687 acres","$3,476,200 ","$2,060.00 ","1,687 acres of grassland",April 2017
Arizona,Graham,"1,443 acres","$5,250,000 ","$3,638.00 ","1,065 furrow irrigated acres with river water and irrigation wells",May 2017
Arkansas,Monroe,"1,120 acres","$4,218,758 ","$3,766.00 ","1,068 tillable acres with 95,000 bushels of grain storage",May 2017
Indiana,Starke,654 acres,"$3,590,162 ","$5,484.00 ","545 tillable acres, 68 wooded acres and 18 CRP acres",May 2017
Kansas,Rawlins and Thomas,800 acres,"$1,904,000 ","$2,380.00 ",705 cropland acres and 93 acres of grass and road,May 2017
Kentucky,Henderson,174 acres,"$1,038,206 ","$5,960.00 ","135 tillable acres, 25 acres of rolling hills, and 4 acres of wooded ground",May 2017
Nebraska,Burt and Dodge,224 acres,"$2,204,830 ","$9,838.00 ",16 acres of pasture with the balance in tillable acres,May 2017
North Dakota,Wells,472 acres,"$1,300,000 ","$2,754.00 ",468 tillable acres,May 2017
Ohio,Jackson,241 acres,"$775,000 ","$3,215.00 ","Includes a home, a machine shed and a USDA-approved poultry-processing plant",May 2017
Oklahoma,Grant,160 acres,"$262,000 ","$1,637.00 ",160 grassland acres,May 2017
Oklahoma,Major,160 acres,"$251,000 ","$1,568.00 ",90 cropland acres and 69 timber acres,May 2017
Kentucky,Henderson,117 acres,"$502,584 ","$4,280.00 ","17 cropland acres, 99 acres of pasture, and a home",June 2017
Missouri,Daviess,715 acres,"$3,425,000 ","$4,790.00 ",572 tillable acres with the remainder in wooded hills,June 2017
Montana,Teton,320 acres,"$256,000 ",$800.00 ,302 tillable acres and 18 grassland acres,June 2017
Nebraska,Butler,200 acres,"$1,870,000 ","$9,350.00 ","160 acres of irrigated, tillable land",June 2017
North Dakota,Grand Forks,592 acres,"$1,643,920 ","$2,777.00 ",535 tillable acres with the remainder in grassland,June 2017
Oklahoma,Major,160 acres,"$201,000 ","$1,256.00 ",88 tillable acres with the remainder in woods,June 2017
Arizona,Cochise,"3,008 acres","$14,669,000 ","$4,877.00 ","2,280 irrigated acres with Class I, II and III soils",July 2017
Arkansas,Poinsett,440 acres,"$1,618,500 ","$3,678.00 ","415 cropland acres, three irrigation wells and one quarter-mile pivot",July 2017
Georgia,Terrell,299 acres,"$440,000 ","$1,471.00 ",299 acres of pine timberland,July 2017
Iowa,Plymouth,144 acres,"$1,880,071 ","$13,056.00 ",Sold in two tracts,July 2017
Kansas,Marshall,237 acres,"$800,000 ","$3,375.00 ",157 tillable acres,July 2017
Missouri,Clinton,102 acres,"$525,000 ","$5,147.00 ",98 tillable acres,July 2017
Nebraska,Dawson,158 acres,"$1,142,280 ","$7,229.00 ",158 tillable acres,July 2017
Georgia,Seminole,417 acres,"$2,100,000 ","$5,035.00 ",312 irrigated cropland acres,August 2017
Kansas,Ness,480 acres,"$623,900 ","$1,299.00 ","Mix of CRP ground, native pasture, outbuildings and storage",August 2017
Kansas,Lane,160 acres,"$128,000 ",$800.00 ,"160 acres of fertile, nearly level ground with Richfield soils",August 2017
Kentucky,Daviess,158.5 acres,"$704,601 ","$4,445.00 ","Includes a home, outbuildings and a pond",August 2017
Kentucky,Grayson,240 acres,"$1,010,000 ","$4,208.00 ","166 cropland acres with an estimated 558,000 board-feet of timber",August 2017
Illinois,Logan,"1,167 acres","$11,020,000 ","$9,443.00 ","1,115 tillable acres with a 137.12 Productivity Index",August 2017
Indiana,Tippecanoe,46 acres,"$530,000 ","$11,521.00 ",46 farmland acres,August 2017
Iowa,Webster,80 acres,"$714,000 ","$8,925.00 ",75.3 tillable acres with CSR1 and CSR2 ratings,August 2017
North Dakota,Mercer,877.5 acres,"$1,590,000 ","$1,811.00 ",311 cropland acres with pasture and hay land,August 2017
Kansas,Saline,202 acres,"$718,300 ","$3,556.00 ",102 farmland acres with a home on 15 acres,September 2017
Indiana,Carroll,90 acres,"$600,000 ","$6,667.00 ",89 tillable acres,September 2017
Illinois,Logan,"1,167 acres","$11,000,000 ","$9,426.00 ","1,115 tillable acres with clay loam and silt loam soils",September 2017
Iowa,Chicksaw,150.5 acres,"$1,340,000 ","$8,904.00 ",Includes a 106.2-acre corn base and a 35.4-acre soybean base,September 2017
Iowa,Webster,156 acres,"$1,400,000 ","$8,974.00 ",150 tillable acres with clay loam and solt loam soils,September 2017
North Dakota,Mercer,157.5 acres,"$500,000 ","$3,175.00 ","Includes a home, corrals, a barn, a workshop and hay ground",September 2017
Oklahoma,Alfalfa,640 acres,"$770,000 ","$1,203.00 ",460 cropland acres with the balance in bermuda and native grasses,September 2017
Oklahoma,Grant,394 acres,"$380,000 ",$964.00 ,342 cropland acres with a base in wheat,September 2017
Illinois,White and Gallatin,320 acres,"$2,590,000 ","$8,100.00 ",320 acres of flat to gently rolling cropland,October 2017
Iowa,Buena Vista,155.22 acres,"$1,930,000 ","$12,444.00 ",148.8 tillable acres,October 2017
Iowa,Story,77.82 acres,"$894,930 ","$11,500.00 ",77.82 tillable acres with a CSR2 rating of 85,October 2017
Kansas,Gove,160 acres,"$316,000 ","$1,975.00 ",60.6 acres of wheat base and 39 acres of grain sorghum base,October 2017
Kansas,Greeley,720 acres,"$448,000 ",$622.00 ,Sold in five tracts,October 2017
Kentucky,Grayson and Edmonson,512 acres,"$591,162 ","$1,155.00 ",Sold in two noncontiguous tracts,October 2017
Ohio,Coshocton and Muskingum,"2,596 acres","$4,060,000 ","$1,564.00 ","Includes trails, creeks, waterfalls, ponds and abundant wildlife",October 2017
Tennessee,Stewart,422 acres,"$1,300,000 ","$3,081.00 ","100 acres of row crops, 30 acres of grass and 60 acres of CRP ground",October 2017
Colorado,Washington,660 acres,"$732,000 ","$1,109.00 ",508.6-acre wheat base,November 2017
Iowa,Cedar,108 acres,"$1,190,000 ","$11,018.00 ",108 tillable acres with a CSR2 rating of 91.2,November 2017
Iowa,Greene,80 acres,"$856,000 ","$10,700.00 ",70.35-acre corn base with CSR2 ratings ranging rom 81.3-85.7,November 2017
Kansas,Comanche,"2,500 acres","$3,000,000 ","$1,200.00 ",400 tillable acres,November 2017
Kansas,Thomas and Sheridan,"1,145 acres","$1,610,000 ","$1,406.00 ",759 cropland acres,November 2017
Louisiana,Catahoula Parish,445 acre,"$1,320,000 ","$2,966.00 ",445 farmland acres,November 2017
Louisiana,Evangeline Parish,180 acres,"$487,512 ","$2,708.00 ",Bean and rice farm,November 2017
Mississippi,Tate and Panola,"2,099 acres","$5,300,000 ","$2,525.00 ","Includes farm structures, fruit trees, woods, timber, ponds and three homes",November 2017
Ohio,Warren,"1,791 acres","$13,730,000 ","$7,666.00 ","1,500 tillable acres with grain storage, meadows and woods",November 2017
Illinois,Calhoun,122.6 acres,"$1,440,000 ","$11,745.00 ",116.61 tillable acres,December 2017
Iowa,Guthrie,208.48 acres,"$2,940,000 ","$14,102.00 ",208.48 tillable acres with a CSR2 rating of 87,December 2017
Iowa,Webster,113 acres,"$980,275 ","$980,275.00 ",113 cropland acres with a CSR2 rating of 84.3,December 2017
Louisiana,Franklin Parish,300 acres,"$750,000 ","$2,500.00 ",300 farmland acres,December 2017
Louisiana,Richland Parish,240 acres,"$900,000 ","$3,750.00 ",240 cropland acres leveled and furrow-irrigated,December 2017
Missouri,Montgomery,438.9 acres,"$2,400,000 ","$5,468.00 ",Mostly Mexico silt loams,December 2017
North Dakota,LaMoure,256 acres,"$689,200 ","$2,692.00 ",Soil Productivity Index ratings ranged from 64.6-85,December 2017
South Carolina,Horry,151 acres,"$365,000 ","$2,417.00 ",151 acres of merchantable pine sawtimber and pine pulpwood,December 2017
Arkansas,Arkansas,323 acres,"$1,400,000 ","$4,334.00 ",300 cropland acres with Class 1 and 2 silt loam soils,Winter 2018
Colorado,"Adams, Weld and Washington","8,735 acres","10,140,000","$1,161.00 ",Sold in twenty-six tracts,Winter 2018
Georgia,Miller,236.9 acres,"$1,350,000 ","$5,698.00 ",203.5 pivot-irrigated acres,Winter 2018
Minnesota,Becker,145 acres,"$253,750 ","$1,750.00 ",121.43 Farm Service Agency acres and 33.99 CRP acres,Winter 2018
Nebraska,Cass,120 acres,"$1,040,000 ","$8,667.00 ",120 tillable acres,Winter 2018
North Dakota,Dunn,317.5 acres,"$714,352 ","$2,250.00 ",317.5 farmland acres with a Soil Productivity Index average of 76,Winter 2018
South Dakota,Corson,"1,189 acres","$2,030,000 ","$1,707.00 ",761 cropland acres with Soil Productivity Index ratings ranging from 82.7-86.4,Winter 2018
Arkansas,Miller,"1,755 acres","$4,300,000 ","$2,450.00 ","1,050 acres of leveled, irrigated silt loam soils",February 2018
Colorado,Kit Carson,168 acres,"$430,000 ","$2,559.00 ",127 acres of irrigated winter wheat and 41 dryland acres,February 2018
Illinois,Tazewell,155 acres,"$1,630,000 ","$10,516.00 ",149.5 cropland acres with 9 acres of CRP ground,February 2018
Iowa,Buchanan,216 acres,"$2,200,000 ","$10,185.00 ","Includes Clyde-Floyd, Kenyon, Readlyn and Burkhardt-Saude soils",February 2018
Kansas,Rawlins,230 acres,"$379,500 ","$1,650.00 ",Includes corn and wheat bases and all silt loam soils,February 2018
Kentucky,Daviess,110 acres,"$781,633 ","$7,106.00 ",Includes Patton and Elk Silt Loam soils,February 2018
Ohio,Hancock,84 acres,"$526,642 ","$6,269.00 ",84 tillable acres,February 2018
Maryland,Wicomico,84 acres,"$350,000 ","$4,166.00 ","Mix of tillable farmland, woodlands and a homestead",February 2018
Indiana,Benton,324 acres,"$3,120,000 ","$9,629.00 ",324 tillable acres with two wind turbines,March 2018
Iowa,Webster,142 acres,"$1,190,000 ","$8,380.00 ",133.27 tillable acres with a CSR1 of 82.4 and a CSR2 of 86.6,March 2018
Kansas,Rawlins,160 acres,"$360,000 ","$2,250.00 ",Includes Kuma and Keith solt loam soils,March 2018
Minnesota,Fillmore,73.7 acres,"$589,600 ","$8,000.00 ",73.7 tillable acres with a Crop Productivity Index of 93.1,March 2018
North Dakota,Mercer,396.23 acres,"$1,310,000 ","$3,306.00 ","Includes bases for wheat, corn, barley and peas",March 2018
Oklahoma,Caddo,157 acres,"$509,000 ","$3,242.00 ",157 cropland acres with highway frontage and a center pivot,March 2018
Oklahoma,Payne,"1,100 acres","$2,530,000 ","$2,300.00 ","Includes grass, timber, ponds, hunting land and a cattle operation",March 2018
South Dakota,McPherson,"1,520 acres","$4,300,000 ","$2,829.00 ","1,520 cropland acres",March 2018
Delaware/Maryland,Kent/Caroline,332 acres,"$1,250,000 ","$3,765.00 ",230 dryland tillable acres,April 2018
Kansas,Rooks,930 acres,"$930,000 ","$1,000.00 ",Includes bases in wheat and grain sorghum,April 2018
Kentucky,Washington,76.86 acres,"$335,262 ","$4,362.00 ",50 tillable acres,April 2018
Louisiana,West Carroll Parish,335 acres,"$1,250,000 ","$3,731.00 ",301 tillable acres with four irrigation wells,April 2018
Indiana,Tippecanoe,116 acres,"$1,070,000 ","$9,224.00 ",108 tillable acres,April 2018
Minnesota,Marshall,240 acresa,"$624,000 ","$2,600.00 ",240 cropland acres,April 2018
North Dakota,Sioux,579.82 acres,"$917,122 ","$1,581.00 ","Includes cropland, pastureland and hunting land",April 2018
Oklahoma,Garfield,160 acres,"$270,000 ","$1,687.00 ",Includes two spring-fed ponds and trees,April 2018
South Dakota,Campbell,"1,458.72 acres","$1,530,000 ","$1,049.00 ",Includes water sources throughout and is a prime wildlife habitat area,April 2018
Tennessee,Montgomery,326 acres,"$1,900,000 ","$5,828.00 ","326 acres of cropland, pasture and timber",April 2018

