All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Mandy Ness,46,28,10,9,14,"$160,068 ","$3,480 ",22%,72%,2017
Robert Maybin,117,19,11,17,22,"$160,037 ","$1,368 ",9%,43%,2017
Allen C. Dupuy,78,14,5,10,9,"$159,890 ","$2,050 ",6%,31%,2017
Gary A. Thomas,76,15,2,10,11,"$159,853 ","$2,103 ",3%,30%,2017
Alexander Martinez,44,12,7,8,6,"$159,533 ","$3,626 ",16%,48%,2017
Susan S. Cooney,96,27,5,9,11,"$158,802 ","$1,654 ",5%,26%,2017
Kevin Buttigieg,68,25,18,15,9,"$158,729 ","$2,334 ",26%,62%,2017
Herold O. Whylie,112,15,5,4,7,"$157,405 ","$1,405 ",4%,14%,2017
Yvon Belsoeur,59,18,9,10,6,"$157,290 ","$2,666 ",15%,42%,2017
Brian Michael,70,15,11,12,8,"$157,220 ","$2,246 ",16%,44%,2017
Jaime N. Gonzalez,26,7,3,2,4,"$157,085 ","$6,042 ",12%,35%,2017
Frances McNeely,46,10,8,5,7,"$157,017 ","$3,413 ",17%,43%,2017
Donald T. Blankenship,139,25,19,22,20,"$156,987 ","$1,129 ",14%,44%,2017
David C. Kassen,42,19,6,8,8,"$156,680 ","$3,730 ",14%,52%,2017
Tony Wilson,61,13,6,8,9,"$156,064 ","$2,558 ",10%,38%,2017
Mark W. Buehrer,100,22,11,15,19,"$155,788 ","$1,558 ",11%,45%,2017
Tino Attard,41,12,4,9,6,"$155,705 ","$3,798 ",10%,46%,2017
J. Edwin Shilling,98,23,22,21,14,"$155,610 ","$1,588 ",22%,58%,2017
Assaf Ronen,47,17,2,11,4,"$155,268 ","$3,304 ",4%,36%,2017
Scott Rollins,54,17,4,12,6,"$155,169 ","$2,874 ",7%,41%,2017
Javier E. Gonzalez,107,31,13,16,20,"$154,746 ","$1,446 ",12%,46%,2017
Terry W. Vance,128,33,11,15,10,"$154,655 ","$1,208 ",9%,28%,2017
Konstantinos Harigeorgiou,101,14,3,13,7,"$154,522 ","$1,530 ",3%,23%,2017
Rick G. Jordan,146,32,15,19,22,"$153,660 ","$1,052 ",10%,38%,2017
David H. Hinsley,87,22,7,12,16,"$153,215 ","$1,761 ",8%,40%,2017
Stephen M. Casey,25,4,2,10,6,"$153,204 ","$6,128 ",8%,72%,2017
Thomas H. Swearingen,71,23,7,7,8,"$153,037 ","$2,155 ",10%,31%,2017
Dan L. Markle,98,19,9,18,17,"$152,845 ","$1,560 ",9%,45%,2017
Steven Krebs,38,11,5,5,7,"$152,680 ","$4,018 ",13%,45%,2017
Ronald Kahles,126,18,12,9,14,"$152,513 ","$1,210 ",10%,28%,2017
"Ramon Orozco, Jr.",146,40,18,13,19,"$152,431 ","$1,044 ",12%,34%,2017
Steve Owens,33,12,6,2,3,"$152,294 ","$4,615 ",18%,33%,2017
Javier Negrete,92,29,6,8,12,"$152,263 ","$1,655 ",7%,28%,2017
Salvador Arceo,137,27,22,24,20,"$152,064 ","$1,110 ",16%,48%,2017
John D. Morrison,21,5,6,3,4,"$151,926 ","$7,235 ",29%,62%,2017
John Rannie Ladner,40,8,6,7,6,"$151,880 ","$3,797 ",15%,48%,2017
Ricardo Bailey,73,12,8,8,9,"$151,760 ","$2,079 ",11%,34%,2017
Jose J. Collazo,76,32,25,19,11,"$151,585 ","$1,995 ",33%,72%,2017
Dallas E. Keen,63,27,6,11,12,"$151,509 ","$2,405 ",10%,46%,2017
Ghislaine Henriquez,156,45,25,31,17,"$151,495 ",$971 ,16%,47%,2017
Bruno Tessore,49,21,8,6,6,"$151,407 ","$3,090 ",16%,41%,2017
Beth Miller-Saul,75,10,12,13,11,"$150,810 ","$2,011 ",16%,48%,2017
Richard D. Jackson,39,10,4,4,5,"$150,701 ","$3,864 ",10%,33%,2017
Joe O. Duhon,114,35,14,13,14,"$150,696 ","$1,322 ",12%,36%,2017
Rory Barron,84,12,9,9,13,"$150,297 ","$1,789 ",11%,37%,2017
Ricky Griffith,54,19,4,8,7,"$150,213 ","$2,782 ",7%,35%,2017
Ruben Gracida,45,15,11,6,6,"$150,150 ","$3,337 ",24%,51%,2017
Jackie Stauffer,109,15,12,17,21,"$149,424 ","$1,371 ",11%,46%,2017
Jeff Trosclair,36,15,7,7,6,"$149,327 ","$4,148 ",19%,56%,2017
Edmund Pringle,24,6,4,2,3,"$149,120 ","$6,213 ",17%,38%,2017
Dan Blacker,32,13,7,5,0,"$148,835 ","$4,651 ",22%,38%,2017
Gustavo Chacon,76,23,3,14,7,"$148,759 ","$1,957 ",4%,32%,2017
Analisa M. Delmas,10,4,2,2,0,"$148,507 ","$14,851 ",20%,40%,2017
Efrain Miranda,74,22,8,9,9,"$147,960 ","$1,999 ",11%,35%,2017
Robert A. Raymond,102,23,9,10,19,"$147,744 ","$1,448 ",9%,37%,2017
Sheldon W. Paldanius,39,13,13,4,10,"$147,665 ","$3,786 ",33%,69%,2017
Greg C. James,58,24,6,14,11,"$147,482 ","$2,543 ",10%,53%,2017
Mario Rafael Rodriguez,209,22,5,9,19,"$147,231 ",$704 ,2%,16%,2017
Vernon D. Coyle,96,15,20,11,11,"$147,206 ","$1,533 ",21%,44%,2017
Jose H. Delgado,22,5,9,3,2,"$147,017 ","$6,683 ",41%,64%,2017
John J. Wames,46,11,4,7,9,"$146,968 ","$3,195 ",9%,43%,2017
George R. Bryant,125,31,12,19,25,"$146,908 ","$1,175 ",10%,45%,2017
Scott D. Mullins,72,14,6,9,9,"$146,897 ","$2,040 ",8%,33%,2017
Christopher Davis,46,16,3,7,7,"$146,895 ","$3,193 ",7%,37%,2017
Stacey R. Viands,86,25,6,11,11,"$146,619 ","$1,705 ",7%,33%,2017
Boyd Finnell,53,18,4,6,8,"$146,553 ","$2,765 ",8%,34%,2017
"Claude L. Brownfield, III",89,19,13,13,10,"$146,532 ","$1,646 ",15%,40%,2017
Angel Quiroz,70,26,9,4,10,"$146,070 ","$2,087 ",13%,33%,2017
Ruben Gomez,118,32,3,10,14,"$146,035 ","$1,238 ",3%,23%,2017
Mark N. Hibdon,132,19,20,19,14,"$146,004 ","$1,106 ",15%,40%,2017
Jon M. Cowan,62,16,7,9,8,"$145,458 ","$2,346 ",11%,39%,2017
Edward J. DeLauro,41,11,4,6,7,"$145,280 ","$3,543 ",10%,41%,2017
Benny C. Cadahia,31,13,6,4,8,"$145,190 ","$4,684 ",19%,58%,2017
Rick Salter,60,10,7,10,11,"$145,185 ","$2,420 ",12%,47%,2017
Daniel E. Sanner,89,18,12,14,14,"$145,160 ","$1,631 ",13%,45%,2017
Joy I. Marlin,94,21,13,13,8,"$145,113 ","$1,544 ",14%,36%,2017
Leslie A. Condon,58,14,7,12,5,"$145,088 ","$2,502 ",12%,41%,2017
Cindy Servideo,28,9,5,3,3,"$144,956 ","$5,177 ",18%,39%,2017
Sam Di Pasquale,59,15,4,8,5,"$144,914 ","$2,456 ",7%,29%,2017
Amanda Dymond,101,24,6,10,14,"$144,776 ","$1,433 ",6%,30%,2017
Alejandro Gonzalez,77,14,14,11,12,"$144,714 ","$1,879 ",18%,48%,2017
Aggie Ordonez,69,20,10,9,6,"$144,683 ","$2,097 ",14%,36%,2017
Sergio Ledezma,106,34,10,8,17,"$144,577 ","$1,364 ",9%,33%,2017
Ray Vernino,89,23,13,9,12,"$144,506 ","$1,624 ",15%,38%,2017
O. J. Jauregui,79,22,6,11,21,"$144,455 ","$1,829 ",8%,48%,2017
Patrick J. Quick,52,18,4,4,6,"$144,417 ","$2,777 ",8%,27%,2017
Chloe M. Bradley,34,12,6,2,1,"$144,375 ","$4,246 ",18%,26%,2017
Robert C. Bennett,41,7,6,7,5,"$144,330 ","$3,520 ",15%,44%,2017
Nick Leggio,51,14,7,9,5,"$144,144 ","$2,826 ",14%,41%,2017
Tirso Rivera,20,5,7,1,4,"$143,790 ","$7,190 ",35%,60%,2017
Todd James Jordan,40,10,10,5,5,"$143,644 ","$3,591 ",25%,50%,2017
Liane P. Davis,40,9,5,6,6,"$143,474 ","$3,587 ",13%,43%,2017
Dean Pederson,30,15,4,2,3,"$143,265 ","$4,776 ",13%,30%,2017
Norman Ashauer,98,11,6,14,10,"$143,261 ","$1,462 ",6%,31%,2017
Michael Lee Weeks,57,11,10,7,8,"$143,250 ","$2,513 ",18%,44%,2017
Jorge Periban,65,17,3,7,10,"$143,150 ","$2,202 ",5%,31%,2017
Troy Smith,70,15,14,10,11,"$143,115 ","$2,045 ",20%,50%,2017
William C. Hedus,43,12,3,9,3,"$142,707 ","$3,319 ",7%,35%,2017
Rhea M. Pennella,120,14,13,14,17,"$142,700 ","$1,189 ",11%,37%,2017
Alan Bozell,100,25,11,20,14,"$142,694 ","$1,427 ",11%,45%,2017
Joseph P. Mahan,76,13,10,12,9,"$142,620 ","$1,877 ",13%,41%,2017
Luis A. Miranda,28,9,3,0,6,"$142,513 ","$5,090 ",11%,32%,2017
James L. Hogue,85,13,13,6,8,"$142,472 ","$1,676 ",15%,32%,2017
Ray Sibille,46,9,9,3,7,"$142,305 ","$3,094 ",20%,41%,2017
T. R. Haehn,163,41,11,21,13,"$142,149 ",$872 ,7%,28%,2017
Sandra A. Dono,100,17,12,6,10,"$142,128 ","$1,421 ",12%,28%,2017
Doug Caraker,114,23,20,22,20,"$142,096 ","$1,246 ",18%,54%,2017
Abraham R. Katryan,64,16,5,2,11,"$141,705 ","$2,214 ",8%,28%,2017
Connie L. Daniels,100,28,7,14,15,"$141,663 ","$1,417 ",7%,36%,2017
Patrick L. Reynolds,34,10,3,6,5,"$141,422 ","$4,159 ",9%,41%,2017
Derek S. Ryan,59,26,5,7,3,"$141,044 ","$2,391 ",8%,25%,2017
Thad W. Keller,83,14,13,15,14,"$140,794 ","$1,696 ",16%,51%,2017
Ronald A. Alfano,13,4,3,0,5,"$140,765 ","$10,828 ",23%,62%,2017
Larry R. Reed,75,16,12,12,9,"$140,719 ","$1,876 ",16%,44%,2017
Harlan Davis Boutte,95,20,12,12,11,"$140,700 ","$1,481 ",13%,37%,2017
Tracey J. Wisner,97,22,4,10,10,"$140,559 ","$1,449 ",4%,25%,2017
Leo O'Brien,58,14,1,4,4,"$140,292 ","$2,419 ",2%,16%,2017
Allen Iwinski,37,14,6,4,4,"$140,098 ","$3,786 ",16%,38%,2017
Anthony T. Quartarolo,43,21,2,2,5,"$140,072 ","$3,257 ",5%,21%,2017
Howard E. Wolfendale,36,14,7,2,5,"$140,049 ","$3,890 ",19%,39%,2017
Mark Lemburg,158,34,17,20,28,"$139,750 ",$884 ,11%,41%,2017
Tamara L. Levy,44,13,6,8,5,"$139,630 ","$3,173 ",14%,43%,2017
J. Michael Rogers,57,17,4,17,6,"$139,449 ","$2,446 ",7%,47%,2017
Jamey R. Thomas,74,25,11,6,16,"$139,163 ","$1,881 ",15%,45%,2017
Alberta Davies,25,5,7,8,0,"$138,982 ","$5,559 ",28%,60%,2017
John J. Dunn,46,11,4,10,9,"$138,942 ","$3,020 ",9%,50%,2017
Angus Buntain,25,5,3,5,3,"$138,491 ","$5,540 ",12%,44%,2017
Mark Danner,19,4,3,2,2,"$138,475 ","$7,288 ",16%,37%,2017
Kenneth D. Black,28,13,5,4,5,"$138,325 ","$4,940 ",18%,50%,2017
William M. Sienkewicz,67,16,9,9,5,"$138,060 ","$2,061 ",13%,34%,2017
Christie Grisham,100,28,16,9,15,"$137,986 ","$1,380 ",16%,40%,2017
Michael Yates,62,26,4,9,11,"$137,865 ","$2,224 ",6%,39%,2017
Ian Hemingway,64,26,10,11,11,"$137,691 ","$2,151 ",16%,50%,2017
Bernardo Campos,50,6,7,4,6,"$137,470 ","$2,749 ",14%,34%,2017
Gary Danelson,97,15,17,16,16,"$137,457 ","$1,417 ",18%,51%,2017
Mark E. Thomas,64,16,9,6,12,"$137,394 ","$2,147 ",14%,42%,2017
Edward R. Freeman,50,21,6,4,9,"$137,096 ","$2,742 ",12%,38%,2017
Eugene Burns,109,30,12,12,19,"$137,094 ","$1,258 ",11%,39%,2017
Kelli Martinez,184,36,12,14,27,"$136,997 ",$745 ,7%,29%,2017
"Guadalupe Munoz, Jr.",110,24,12,14,13,"$136,973 ","$1,245 ",11%,35%,2017
Kenneth M. Cox,42,8,6,3,6,"$136,909 ","$3,260 ",14%,36%,2017
Danny Morales,63,24,8,21,6,"$136,871 ","$2,173 ",13%,56%,2017
John I. Pimental,83,14,8,14,9,"$136,702 ","$1,647 ",10%,37%,2017
William R. Helmbrecht,145,42,8,14,17,"$136,700 ",$943 ,6%,27%,2017
Cheryl Winebaugh,93,18,9,10,12,"$136,698 ","$1,470 ",10%,33%,2017
Philip A. Oviedo,32,10,3,5,4,"$136,650 ","$4,270 ",9%,38%,2017
Ernesto Sierra,46,14,7,4,6,"$136,487 ","$2,967 ",15%,37%,2017
Juan Chavez Ortega,98,26,12,12,17,"$136,361 ","$1,391 ",12%,42%,2017
Jennifer A. Hayford- Quinones,41,11,7,2,2,"$136,185 ","$3,322 ",17%,27%,2017
Gennadi Dorochenko,115,22,6,12,13,"$135,732 ","$1,180 ",5%,27%,2017
Gregg M. Matties,34,13,5,2,4,"$135,576 ","$3,988 ",15%,32%,2017
Erin Wilkinson,39,12,7,2,5,"$135,556 ","$3,476 ",18%,36%,2017
Donald L. Demeza,51,7,5,9,8,"$135,373 ","$2,654 ",10%,43%,2017
Ralph R. Irwin,50,13,4,5,8,"$135,241 ","$2,705 ",8%,34%,2017
Jason H. Meaux,51,11,7,9,3,"$135,060 ","$2,648 ",14%,37%,2017
Benjamin Zeno,142,40,9,13,11,"$135,035 ",$951 ,6%,23%,2017
"O. D. Jamison, Sr.",66,13,12,7,5,"$135,021 ","$2,046 ",18%,36%,2017
"Clifford C. Lambert, Sr.",119,17,10,11,19,"$134,866 ","$1,133 ",8%,34%,2017
Rickey N. Castille,69,15,7,8,4,"$134,720 ","$1,952 ",10%,28%,2017
Gina Perri,110,26,7,3,10,"$134,702 ","$1,225 ",6%,18%,2017
Barry R. Rose,105,12,2,7,16,"$134,557 ","$1,281 ",2%,24%,2017
Russell Vicchrilli,57,24,7,7,10,"$134,553 ","$2,361 ",12%,42%,2017
David W. Geist,86,15,6,6,5,"$134,385 ","$1,563 ",7%,20%,2017
William Don Bennett,57,11,7,4,6,"$134,113 ","$2,353 ",12%,30%,2017
Jorge J. Perez,73,17,14,17,6,"$134,039 ","$1,836 ",19%,51%,2017
Rodolfo Aguilar,124,21,7,20,17,"$133,638 ","$1,078 ",6%,35%,2017
Guy E. Tauzin,131,32,11,16,16,"$133,095 ","$1,016 ",8%,33%,2017
Timothy P. Murphy,112,18,8,8,14,"$132,668 ","$1,185 ",7%,27%,2017
Thomas R. Smith,38,6,7,9,6,"$132,435 ","$3,485 ",18%,58%,2017
Carlos Inirio,98,17,9,11,11,"$131,724 ","$1,344 ",9%,32%,2017
Frank Huarte,46,6,6,3,7,"$131,489 ","$2,858 ",13%,35%,2017
Duane Offield,84,19,8,8,12,"$131,352 ","$1,564 ",10%,33%,2017
Harry E. Dimitriou,34,6,4,4,8,"$131,268 ","$3,861 ",12%,47%,2017
Robert A. Rivera,116,16,9,14,17,"$131,096 ","$1,130 ",8%,34%,2017
Amy Randolph,67,10,9,9,12,"$130,697 ","$1,951 ",13%,45%,2017
Neil Knapp,158,32,13,14,20,"$130,477 ",$826 ,8%,30%,2017
Michael Nault,63,21,12,9,6,"$130,475 ","$2,071 ",19%,43%,2017
"Ray E. Tracy, Jr.",95,38,8,11,11,"$130,382 ","$1,372 ",8%,32%,2017
Jose S. Rodriguez,88,16,6,7,11,"$130,040 ","$1,478 ",7%,27%,2017
Isidro Tamayo,63,20,10,17,12,"$130,009 ","$2,064 ",16%,62%,2017
Brent Toups,89,14,8,15,9,"$130,000 ","$1,461 ",9%,36%,2017
Felipe N Souza,18,5,5,2,3,"$129,870 ","$7,215 ",28%,56%,2017
Cody Bauserman,70,15,9,14,10,"$129,795 ","$1,854 ",13%,47%,2017
Larry D. Donlin,84,17,11,15,8,"$129,793 ","$1,545 ",13%,40%,2017
Matt A. Shirer,38,16,8,7,8,"$129,644 ","$3,412 ",21%,61%,2017
"Victor Carrasco, Jr.",77,30,9,8,6,"$129,516 ","$1,682 ",12%,30%,2017
Marcia Stortz,59,19,5,4,10,"$129,437 ","$2,194 ",8%,32%,2017
Patrick Huffman,39,13,6,5,4,"$129,366 ","$3,317 ",15%,38%,2017
Elias Tapsas,58,11,3,4,8,"$129,299 ","$2,229 ",5%,26%,2017
Debbie Winick,70,17,7,7,11,"$129,087 ","$1,844 ",10%,36%,2017
"Leo Azpurua, Jr.",29,13,5,2,6,"$129,045 ","$4,450 ",17%,45%,2017
Elbert Fenimore,53,7,5,5,9,"$129,019 ","$2,434 ",9%,36%,2017
Peter Kazamias,26,12,3,1,4,"$128,328 ","$4,936 ",12%,31%,2017
Enis Mouton,53,10,5,9,6,"$128,215 ","$2,419 ",9%,38%,2017
Dorothy Elisabeth Worton,47,11,6,6,8,"$128,129 ","$2,726 ",13%,43%,2017
Marcelo Polanco,70,11,3,10,13,"$127,460 ","$1,821 ",4%,37%,2017
"Angel A. Penna, Jr.",17,8,5,1,3,"$127,440 ","$7,496 ",29%,53%,2017
Tina Rena Hurley,59,11,9,8,8,"$127,353 ","$2,159 ",15%,42%,2017
Dru S. Hall,131,29,17,28,22,"$127,174 ",$971 ,13%,51%,2017
James Kettell,63,14,5,8,10,"$126,922 ","$2,015 ",8%,37%,2017
Charles L. Dickey,31,11,5,4,5,"$125,826 ","$4,059 ",16%,45%,2017
Peter P. DeRousselle,104,27,9,11,6,"$125,530 ","$1,207 ",9%,25%,2017
Jory Ferrell,51,12,8,6,6,"$125,511 ","$2,461 ",16%,39%,2017
"Peter Wasiluk, Jr.",74,18,6,10,8,"$125,249 ","$1,693 ",8%,32%,2017
Lyle W. Magnuson,120,26,23,29,26,"$125,213 ","$1,043 ",19%,65%,2017
"John P. LeBlanc, Jr.",50,12,5,5,5,"$125,056 ","$2,501 ",10%,30%,2017
D. Kelly Ackerman,52,23,10,8,8,"$125,000 ","$2,404 ",19%,50%,2017
Kim A. Oliver,56,10,7,11,7,"$124,823 ","$2,229 ",13%,45%,2017
Michael Lawrence Stewart,40,12,8,4,4,"$124,795 ","$3,120 ",20%,40%,2017
Wayne G. Minnock,63,11,8,8,7,"$124,443 ","$1,975 ",13%,37%,2017
Lynn Rarick,73,18,8,11,9,"$124,329 ","$1,703 ",11%,38%,2017
William J Hogan,77,13,2,3,5,"$124,287 ","$1,614 ",3%,13%,2017
"Jeffery A. Reeves, Jr.",63,14,8,8,8,"$124,260 ","$1,972 ",13%,38%,2017
Donald C. Barber,57,9,10,8,13,"$124,204 ","$2,179 ",18%,54%,2017
Tianna Richardville,119,21,3,7,8,"$124,174 ","$1,043 ",3%,15%,2017
Michael Grace,80,11,12,10,9,"$124,171 ","$1,552 ",15%,39%,2017
Debra E. Rombis,69,17,3,9,9,"$123,749 ","$1,793 ",4%,30%,2017
Kenneth Westlye,114,22,7,7,12,"$123,384 ","$1,082 ",6%,23%,2017
Brian S. House,59,20,5,6,11,"$123,334 ","$2,090 ",8%,37%,2017
Val Brinkerhoff,74,31,10,5,11,"$123,180 ","$1,665 ",14%,35%,2017
Neal Terracciano,30,5,3,6,4,"$123,179 ","$4,106 ",10%,43%,2017
Forrest Kaelin,70,10,5,7,18,"$123,048 ","$1,758 ",7%,43%,2017
Jerry A. Thurston,74,11,7,6,9,"$122,770 ","$1,659 ",9%,30%,2017
"Gary L. Williams, Jr.",28,7,7,6,6,"$122,628 ","$4,380 ",25%,68%,2017
Jake S. Radosevich,118,32,13,12,20,"$122,335 ","$1,037 ",11%,38%,2017
Dawna Z. Anderson,39,9,9,5,4,"$122,181 ","$3,133 ",23%,46%,2017
Eliezer Velez,120,29,16,16,13,"$122,169 ","$1,018 ",13%,38%,2017
Bart B. Evans,42,10,6,7,11,"$122,010 ","$2,905 ",14%,57%,2017
Jose G. Castanon,40,17,7,5,5,"$121,994 ","$3,050 ",18%,43%,2017
David P. Duggan,23,9,5,3,4,"$121,940 ","$5,302 ",22%,52%,2017
Antonio Cioffi,64,10,6,7,9,"$121,783 ","$1,903 ",9%,34%,2017
Patrick L. White,160,31,12,14,19,"$121,756 ",$761 ,8%,28%,2017
Marion L. Cuttino,63,18,10,5,7,"$121,692 ","$1,932 ",16%,35%,2017
Edward Harrison Frederick,51,13,6,6,3,"$121,221 ","$2,377 ",12%,29%,2017
Len Kasmerski,81,15,7,8,16,"$121,121 ","$1,495 ",9%,38%,2017
Matthew A. Troy,69,15,11,12,10,"$120,808 ","$1,751 ",16%,48%,2017
Michael E. Sterling,31,9,6,2,2,"$120,750 ","$3,895 ",19%,32%,2017
Jeff Delhomme,25,6,4,5,3,"$120,635 ","$4,825 ",16%,48%,2017
Gerardo Carrillo-Dominguez,51,16,9,8,7,"$120,583 ","$2,364 ",18%,47%,2017
Eric N. Foster,88,16,11,12,10,"$120,315 ","$1,367 ",13%,38%,2017
D. Wayne Baker,74,21,11,10,16,"$120,250 ","$1,625 ",15%,50%,2017
Pavel Matejka,50,17,9,10,5,"$120,238 ","$2,405 ",18%,48%,2017
Mark Hubley,43,18,7,5,7,"$120,235 ","$2,796 ",16%,44%,2017
Sylvain Pion,40,11,4,3,1,"$120,229 ","$3,006 ",10%,20%,2017
John Ney,59,11,8,8,7,"$120,205 ","$2,037 ",14%,39%,2017
Byron G. Hughes,36,8,5,8,6,"$120,204 ","$3,339 ",14%,53%,2017
Jearl Ace Hare,40,6,4,4,7,"$119,926 ","$2,998 ",10%,38%,2017
Jaime Castellanos,65,19,10,9,9,"$119,589 ","$1,840 ",15%,43%,2017
Pedro L. Salinas,91,16,9,18,17,"$119,570 ","$1,314 ",10%,48%,2017
William McLaren,15,3,6,1,1,"$119,502 ","$7,967 ",40%,53%,2017
Raimondo Schiano-Dicola,80,16,6,12,8,"$119,464 ","$1,493 ",8%,33%,2017
Reid T. Gross,68,19,13,6,8,"$119,289 ","$1,754 ",19%,40%,2017
Mark L. Tasso,57,11,7,8,7,"$119,218 ","$2,092 ",12%,39%,2017
Kevin McCarthy,48,10,9,8,6,"$119,076 ","$2,481 ",19%,48%,2017
Arturo Rondon,129,21,16,11,16,"$118,915 ",$922 ,12%,33%,2017
Jaime H. Gomez,33,10,5,6,2,"$118,820 ","$3,601 ",15%,39%,2017
Austin Gustafson,99,25,4,12,12,"$118,780 ","$1,200 ",4%,28%,2017
Gregory DiPrima,37,11,3,6,5,"$118,770 ","$3,210 ",8%,38%,2017
Troy S. Wismer,29,15,4,3,4,"$118,615 ","$4,090 ",14%,38%,2017
Jennifer Shafer,32,7,2,2,5,"$118,333 ","$3,698 ",6%,28%,2017
Bernard G. Dunham,43,15,5,6,4,"$118,006 ","$2,744 ",12%,35%,2017
Agustin C. Bezara,47,20,6,2,4,"$117,730 ","$2,505 ",13%,26%,2017
Adam L. Ingram,137,22,8,19,19,"$117,560 ",$858 ,6%,34%,2017
"John J. Hartsell, Jr.",33,10,4,5,3,"$117,472 ","$3,560 ",12%,36%,2017
Daniel Gazader,54,16,8,7,4,"$117,260 ","$2,171 ",15%,35%,2017
Alvin Romero,54,10,5,9,4,"$117,180 ","$2,170 ",9%,33%,2017
Elige Bourne,38,6,6,5,7,"$117,153 ","$3,083 ",16%,47%,2017
Douglas Nunn,59,17,4,8,10,"$117,149 ","$1,986 ",7%,37%,2017
Brian E. Muse,74,19,8,7,10,"$116,950 ","$1,580 ",11%,34%,2017
Jamen Davidovich,51,15,8,5,10,"$116,759 ","$2,289 ",16%,45%,2017
Emron Ibrahim,29,8,5,4,4,"$116,556 ","$4,019 ",17%,45%,2017
Joseph Deegan,23,7,5,3,2,"$116,394 ","$5,061 ",22%,43%,2017
Joe Hawley,154,19,16,16,16,"$116,276 ",$755 ,10%,31%,2017
Webster Rosello,93,9,14,10,16,"$116,110 ","$1,248 ",15%,43%,2017
Steve Bullock,51,11,10,3,5,"$116,010 ","$2,275 ",20%,35%,2017
Stephanie S. Beattie,40,10,11,6,3,"$115,947 ","$2,899 ",28%,50%,2017
Joseph P. Stehr,74,15,5,5,9,"$115,784 ","$1,565 ",7%,26%,2017
Andrew McKeever,39,18,3,8,5,"$115,631 ","$2,965 ",8%,41%,2017
Emmanuel Tzortzakis,43,7,3,6,5,"$115,564 ","$2,688 ",7%,33%,2017
Andrew T. Ney,98,21,8,7,11,"$115,466 ","$1,178 ",8%,27%,2017
Allen Maragh,45,6,5,5,7,"$115,280 ","$2,562 ",11%,38%,2017
John Simms,96,18,9,12,21,"$115,176 ","$1,200 ",9%,44%,2017
Dwight J. Viator,42,14,8,9,6,"$115,145 ","$2,742 ",19%,55%,2017
Manuel Criollo,73,10,8,10,4,"$115,139 ","$1,577 ",11%,30%,2017
Douglas R. Barron,97,16,9,17,14,"$114,858 ","$1,184 ",9%,41%,2017
Franklin Rodriguez,88,23,5,12,11,"$114,823 ","$1,305 ",6%,32%,2017
J. Kent Sweezey,31,16,4,2,9,"$114,510 ","$3,694 ",13%,48%,2017
Robert Gerl,52,11,5,7,5,"$114,337 ","$2,199 ",10%,33%,2017
Louis Albertrani,11,3,3,2,1,"$114,070 ","$10,370 ",27%,55%,2017
Felicia Campbell,87,18,9,10,20,"$114,069 ","$1,311 ",10%,45%,2017
Jose A. Ramirez,62,11,7,6,8,"$113,821 ","$1,836 ",11%,34%,2017
Donald G. Trett,52,16,10,13,5,"$113,712 ","$2,187 ",19%,54%,2017
Milton W. Wolfson,24,13,4,2,2,"$113,560 ","$4,732 ",17%,33%,2017
"Dominic Giglio, Jr.",42,17,0,3,7,"$113,554 ","$2,704 ",0%,24%,2017
Melecio Saldana Guerrero,54,7,5,1,6,"$113,440 ","$2,101 ",9%,22%,2017
Robert P. Helmetag,44,13,3,5,3,"$113,353 ","$2,576 ",7%,25%,2017
Penny Rone,46,19,5,10,3,"$112,934 ","$2,455 ",11%,39%,2017
Ruperto R. Urbina,104,36,6,11,7,"$112,879 ","$1,085 ",6%,23%,2017
Lance Stokes,50,15,8,9,6,"$112,395 ","$2,248 ",16%,46%,2017
Donald C. Bookman,20,2,3,4,3,"$112,383 ","$5,619 ",15%,50%,2017
John N. Quiles,42,6,2,3,2,"$112,254 ","$2,673 ",5%,17%,2017
Harry Ramirez,91,34,18,18,19,"$112,099 ","$1,232 ",20%,60%,2017
Alejandro Maymo,55,22,6,6,9,"$111,897 ","$2,034 ",11%,38%,2017
Jose Antonio Moreno,55,22,16,11,8,"$111,795 ","$2,033 ",29%,64%,2017
James M. Gulick,35,14,8,6,4,"$111,706 ","$3,192 ",23%,51%,2017
Dawn Martin,68,16,9,8,11,"$111,533 ","$1,640 ",13%,41%,2017
Roland L. Bruno,45,10,4,6,8,"$111,490 ","$2,478 ",9%,40%,2017
Victor O. Collazo,50,6,2,7,7,"$111,440 ","$2,229 ",4%,32%,2017
Gustavo Amaya,42,12,6,3,6,"$111,247 ","$2,649 ",14%,36%,2017
Jason McCutchen,22,14,3,4,6,"$111,040 ","$5,047 ",14%,59%,2017
Marvin Buffalo,75,19,11,20,10,"$110,942 ","$1,479 ",15%,55%,2017
Michael Miceli,25,10,3,2,4,"$110,496 ","$4,420 ",12%,36%,2017
Craig Anthony Lewis,47,13,4,6,9,"$110,491 ","$2,351 ",9%,40%,2017
"Arthur F. Stauffer, Sr.",76,8,9,4,13,"$110,161 ","$1,449 ",12%,34%,2017
Edelmiro Carrizales,85,10,10,9,14,"$110,031 ","$1,294 ",12%,39%,2017
